Time,1 ZONE VAV:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE VAV:DesPer 1:Des Heat Cap [W],1 ZONE VAV:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE VAV:DesPer 1:Des Sens Cool Cap [W],1 ZONE VAV:DesPer 1:Des Tot Cool Cap [W],1 ZONE VAV:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE VAV:DesPer 2:Des Heat Cap [W],1 ZONE VAV:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE VAV:DesPer 2:Des Sens Cool Cap [W],1 ZONE VAV:DesPer 2:Des Tot Cool Cap [W],1 ZONE VAV:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE VAV:DesPer 3:Des Heat Cap [W],1 ZONE VAV:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE VAV:DesPer 3:Des Sens Cool Cap [W],1 ZONE VAV:DesPer 3:Des Tot Cool Cap [W],1 ZONE VAV 1:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE VAV 1:DesPer 1:Des Heat Cap [W],1 ZONE VAV 1:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE VAV 1:DesPer 1:Des Sens Cool Cap [W],1 ZONE VAV 1:DesPer 1:Des Tot Cool Cap [W],1 ZONE VAV 1:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE VAV 1:DesPer 2:Des Heat Cap [W],1 ZONE VAV 1:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE VAV 1:DesPer 2:Des Sens Cool Cap [W],1 ZONE VAV 1:DesPer 2:Des Tot Cool Cap [W],1 ZONE VAV 1:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE VAV 1:DesPer 3:Des Heat Cap [W],1 ZONE VAV 1:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE VAV 1:DesPer 3:Des Sens Cool Cap [W],1 ZONE VAV 1:DesPer 3:Des Tot Cool Cap [W],1 ZONE VAV 2:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE VAV 2:DesPer 1:Des Heat Cap [W],1 ZONE VAV 2:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE VAV 2:DesPer 1:Des Sens Cool Cap [W],1 ZONE VAV 2:DesPer 1:Des Tot Cool Cap [W],1 ZONE VAV 2:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE VAV 2:DesPer 2:Des Heat Cap [W],1 ZONE VAV 2:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE VAV 2:DesPer 2:Des Sens Cool Cap [W],1 ZONE VAV 2:DesPer 2:Des Tot Cool Cap [W],1 ZONE VAV 2:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE VAV 2:DesPer 3:Des Heat Cap [W],1 ZONE VAV 2:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE VAV 2:DesPer 3:Des Sens Cool Cap [W],1 ZONE VAV 2:DesPer 3:Des Tot Cool Cap [W]
01:00:00,1.606781E+01,0.000000E+00,1.606781E+01,1.507738E+05,3.510581E+05,1.606781E+01,0.000000E+00,1.606781E+01,1.104091E+05,3.658130E+05,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,1.606781E+01,1.507738E+05,3.510581E+05,1.606781E+01,0.000000E+00,1.606781E+01,1.104091E+05,3.658130E+05,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,1.606781E+01,1.507738E+05,3.510581E+05,1.606781E+01,0.000000E+00,1.606781E+01,1.104091E+05,3.658130E+05,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00
02:00:00,1.606781E+01,0.000000E+00,1.606781E+01,1.447675E+05,3.449035E+05,1.606781E+01,0.000000E+00,1.606781E+01,1.044028E+05,3.455971E+05,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,1.606781E+01,1.447675E+05,3.449035E+05,1.606781E+01,0.000000E+00,1.606781E+01,1.044028E+05,3.455971E+05,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,1.606781E+01,1.447675E+05,3.449035E+05,1.606781E+01,0.000000E+00,1.606781E+01,1.044028E+05,3.455971E+05,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00
03:00:00,1.606781E+01,0.000000E+00,1.606781E+01,1.402628E+05,3.402878E+05,1.606781E+01,0.000000E+00,1.606781E+01,9.989814E+04,3.306353E+05,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,1.606781E+01,1.402628E+05,3.402878E+05,1.606781E+01,0.000000E+00,1.606781E+01,9.989814E+04,3.306353E+05,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,1.606781E+01,1.402628E+05,3.402878E+05,1.606781E+01,0.000000E+00,1.606781E+01,9.989814E+04,3.306353E+05,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00
04:00:00,1.606781E+01,0.000000E+00,1.606781E+01,1.357581E+05,3.356718E+05,1.606781E+01,0.000000E+00,1.606781E+01,9.539344E+04,3.158424E+05,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,1.606781E+01,1.357581E+05,3.356718E+05,1.606781E+01,0.000000E+00,1.606781E+01,9.539344E+04,3.158424E+05,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,1.606781E+01,1.357581E+05,3.356718E+05,1.606781E+01,0.000000E+00,1.606781E+01,9.539344E+04,3.158424E+05,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00
05:00:00,1.606781E+01,0.000000E+00,1.606781E+01,1.327550E+05,3.325948E+05,1.606781E+01,0.000000E+00,1.606781E+01,9.239031E+04,3.060730E+05,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,1.606781E+01,1.327550E+05,3.325948E+05,1.606781E+01,0.000000E+00,1.606781E+01,9.239031E+04,3.060730E+05,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,1.606781E+01,1.327550E+05,3.325948E+05,1.606781E+01,0.000000E+00,1.606781E+01,9.239031E+04,3.060730E+05,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00
06:00:00,1.606781E+01,0.000000E+00,1.606781E+01,1.357581E+05,3.356718E+05,1.606781E+01,0.000000E+00,1.606781E+01,9.539344E+04,3.158424E+05,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,1.606781E+01,1.357581E+05,3.356718E+05,1.606781E+01,0.000000E+00,1.606781E+01,9.539344E+04,3.158424E+05,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,1.606781E+01,1.357581E+05,3.356718E+05,1.606781E+01,0.000000E+00,1.606781E+01,9.539344E+04,3.158424E+05,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00
07:00:00,1.606781E+01,0.000000E+00,1.606781E+01,1.462691E+05,3.464421E+05,1.606781E+01,0.000000E+00,1.606781E+01,1.059044E+05,3.506223E+05,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,1.606781E+01,1.462691E+05,3.464421E+05,1.606781E+01,0.000000E+00,1.606781E+01,1.059044E+05,3.506223E+05,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,1.606781E+01,1.462691E+05,3.464421E+05,1.606781E+01,0.000000E+00,1.606781E+01,1.059044E+05,3.506223E+05,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00
08:00:00,1.606781E+01,0.000000E+00,1.606781E+01,1.717957E+05,3.725987E+05,1.606781E+01,0.000000E+00,1.606781E+01,1.314310E+05,4.390558E+05,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,1.606781E+01,1.717957E+05,3.725987E+05,1.606781E+01,0.000000E+00,1.606781E+01,1.314310E+05,4.390558E+05,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,1.606781E+01,1.717957E+05,3.725987E+05,1.606781E+01,0.000000E+00,1.606781E+01,1.314310E+05,4.390558E+05,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00
09:00:00,1.606781E+01,0.000000E+00,1.680395E+01,2.108816E+05,4.291616E+05,1.606781E+01,0.000000E+00,1.606781E+01,1.599608E+05,5.284904E+05,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,2.560645E+01,3.372534E+05,6.479581E+05,1.606781E+01,0.000000E+00,2.517444E+01,2.906777E+05,7.708154E+05,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,3.037404E+01,4.057780E+05,7.233449E+05,1.606781E+01,0.000000E+00,2.909513E+01,3.470227E+05,8.346851E+05,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00
10:00:00,1.606781E+01,0.000000E+00,4.198288E+01,5.262577E+05,9.232497E+05,1.606781E+01,0.000000E+00,3.910996E+01,4.524726E+05,1.036391E+06,3.056994E+01,3.540873E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,6.393540E+01,7.817837E+05,1.150356E+06,1.606781E+01,0.000000E+00,6.328042E+01,7.337658E+05,1.279442E+06,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,6.826365E+01,8.322624E+05,1.177751E+06,1.606781E+01,0.000000E+00,6.675161E+01,7.742378E+05,1.298852E+06,2.895513E+01,3.668200E+05,1.606781E+01,0.000000E+00,0.000000E+00
11:00:00,1.606781E+01,0.000000E+00,3.525723E+01,4.625712E+05,7.300623E+05,1.606781E+01,0.000000E+00,3.308851E+01,3.979803E+05,8.451309E+05,2.294206E+01,4.119537E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,5.918477E+01,7.297130E+05,1.005084E+06,1.606781E+01,0.000000E+00,5.857175E+01,6.824972E+05,1.129132E+06,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,5.672294E+01,7.022340E+05,9.691280E+05,1.606781E+01,0.000000E+00,5.537127E+01,6.467718E+05,1.084450E+06,2.115941E+01,4.268625E+05,1.606781E+01,0.000000E+00,0.000000E+00
