Time,BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 10 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 10 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 10 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 10 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 7 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 7 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 7 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 7 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 8 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 8 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 8 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 8 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 9 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 9 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 9 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 9 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s]
01:00:00,2.892111E+04,2.896457E+05,9.779444E-01,2.532388E+01,6.337747E+04,5.361639E+04,2.151007E+00,7.282778E+00,3.198037E+04,1.233049E+05,1.081367E+00,1.077552E+01,3.365895E+04,5.459289E+04,1.142444E+00,7.414994E+00,3.473758E+04,1.910826E+05,1.174572E+00,1.670956E+01,3.568844E+04,5.443270E+04,1.211308E+00,7.393335E+00,3.650992E+04,5.447231E+04,1.239182E+00,7.398751E+00,3.738247E+04,5.442031E+04,1.268791E+00,7.391714E+00,1.153517E+05,5.680887E+04,3.913674E+00,7.718471E+00,3.852358E+04,5.227100E+04,1.307508E+00,7.099856E+00
02:00:00,2.892114E+04,2.888888E+05,9.779455E-01,2.525779E+01,6.338125E+04,5.266879E+04,2.151135E+00,7.154073E+00,3.198057E+04,1.223703E+05,1.081374E+00,1.069389E+01,3.365913E+04,5.377401E+04,1.142451E+00,7.303774E+00,3.473769E+04,1.900702E+05,1.174576E+00,1.662113E+01,3.569312E+04,5.372270E+04,1.211467E+00,7.296903E+00,3.651494E+04,5.376338E+04,1.239352E+00,7.302465E+00,3.738257E+04,5.356239E+04,1.268794E+00,7.275192E+00,1.153555E+05,5.519836E+04,3.913802E+00,7.499661E+00,3.852823E+04,5.169842E+04,1.307666E+00,7.022088E+00
03:00:00,2.892117E+04,2.882216E+05,9.779466E-01,2.519953E+01,6.338487E+04,5.184363E+04,2.151258E+00,7.041999E+00,3.198077E+04,1.215280E+05,1.081380E+00,1.062032E+01,3.365930E+04,5.304034E+04,1.142456E+00,7.204131E+00,3.473780E+04,1.891718E+05,1.174579E+00,1.654267E+01,3.569762E+04,5.308847E+04,1.211620E+00,7.210765E+00,3.651977E+04,5.313108E+04,1.239517E+00,7.216588E+00,3.738266E+04,5.279868E+04,1.268797E+00,7.171467E+00,1.153591E+05,5.384905E+04,3.913926E+00,7.316355E+00,3.853272E+04,5.119385E+04,1.307818E+00,6.953558E+00
04:00:00,2.892120E+04,2.876052E+05,9.779476E-01,2.514569E+01,6.338836E+04,5.106329E+04,2.151377E+00,6.936015E+00,3.198095E+04,1.207380E+05,1.081387E+00,1.055130E+01,3.365947E+04,5.234847E+04,1.142462E+00,7.110165E+00,3.473789E+04,1.883397E+05,1.174582E+00,1.647001E+01,3.570195E+04,5.248451E+04,1.211767E+00,7.128737E+00,3.652443E+04,5.252776E+04,1.239675E+00,7.134648E+00,3.738275E+04,5.207876E+04,1.268800E+00,7.073690E+00,1.153626E+05,5.255758E+04,3.914044E+00,7.140906E+00,3.853704E+04,5.070658E+04,1.307965E+00,6.887380E+00
05:00:00,2.892123E+04,2.870782E+05,9.779486E-01,2.509967E+01,6.339170E+04,5.040310E+04,2.151490E+00,6.846347E+00,3.198112E+04,1.200497E+05,1.081392E+00,1.049119E+01,3.365962E+04,5.174961E+04,1.142467E+00,7.028831E+00,3.473798E+04,1.876217E+05,1.174585E+00,1.640732E+01,3.570613E+04,5.196469E+04,1.211909E+00,7.058138E+00,3.652892E+04,5.201039E+04,1.239827E+00,7.064381E+00,3.738283E+04,5.146137E+04,1.268803E+00,6.989838E+00,1.153660E+05,5.152684E+04,3.914158E+00,7.000871E+00,3.854120E+04,5.029466E+04,1.308106E+00,6.831433E+00
06:00:00,2.892126E+04,8.660381E+04,9.779495E-01,5.121029E+00,6.339491E+04,5.181057E+04,2.151599E+00,7.036620E+00,3.198128E+04,0.000000E+00,1.081398E+00,0.000000E+00,3.365976E+04,5.344061E+04,1.142472E+00,7.257863E+00,3.473807E+04,1.284566E+04,1.174588E+00,7.580142E-01,3.571015E+04,5.367801E+04,1.212045E+00,7.290136E+00,3.653325E+04,5.376477E+04,1.239974E+00,7.301932E+00,3.738290E+04,5.307605E+04,1.268805E+00,7.208405E+00,1.153692E+05,5.344077E+04,3.914268E+00,7.258702E+00,3.854520E+04,5.170309E+04,1.308242E+00,7.021957E+00
07:00:00,2.892128E+04,2.981921E+05,9.779503E-01,2.445722E+01,6.339799E+04,5.488881E+04,2.151704E+00,7.454741E+00,3.198144E+04,1.625389E+05,1.081403E+00,1.348252E+01,3.365989E+04,5.765115E+04,1.142476E+00,7.829744E+00,3.473815E+04,2.363116E+05,1.174591E+00,1.936281E+01,3.571403E+04,5.792114E+04,1.212177E+00,7.866449E+00,3.653742E+04,5.803419E+04,1.240116E+00,7.881818E+00,3.738297E+04,5.722776E+04,1.268807E+00,7.772306E+00,1.153723E+05,5.925938E+04,3.914373E+00,8.049205E+00,3.854906E+04,5.412262E+04,1.308373E+00,7.350601E+00
08:00:00,2.892131E+04,3.059235E+05,9.779511E-01,2.673376E+01,6.340096E+04,5.931145E+04,2.151804E+00,8.055403E+00,3.198158E+04,1.309575E+05,1.081408E+00,1.143953E+01,3.366002E+04,6.201457E+04,1.142481E+00,8.422346E+00,3.473822E+04,2.014331E+05,1.174593E+00,1.760412E+01,3.571776E+04,6.241054E+04,1.212303E+00,8.476164E+00,3.654144E+04,6.249243E+04,1.240252E+00,8.487302E+00,3.738304E+04,6.170406E+04,1.268810E+00,8.380245E+00,1.153753E+05,6.751923E+04,3.914473E+00,9.171125E+00,3.855278E+04,5.708285E+04,1.308499E+00,7.752642E+00
09:00:00,2.892133E+04,3.146583E+05,9.779519E-01,2.751381E+01,6.340380E+04,6.313684E+04,2.151901E+00,8.575898E+00,3.198171E+04,1.425467E+05,1.081412E+00,1.245686E+01,3.366014E+04,6.520924E+04,1.142485E+00,8.856882E+00,3.473829E+04,2.144337E+05,1.174596E+00,1.875400E+01,3.572135E+04,6.568330E+04,1.212425E+00,8.921377E+00,3.654531E+04,6.571180E+04,1.240383E+00,8.925289E+00,3.738310E+04,6.507768E+04,1.268812E+00,8.839204E+00,1.153781E+05,7.527196E+04,3.914570E+00,1.022707E+01,3.855636E+04,5.894888E+04,1.308620E+00,8.006810E+00
10:00:00,2.892135E+04,3.110745E+05,9.779526E-01,2.719593E+01,6.340653E+04,6.648605E+04,2.151994E+00,9.031014E+00,3.198184E+04,1.408961E+05,1.081417E+00,1.231087E+01,3.366025E+04,6.699373E+04,1.142488E+00,9.099379E+00,3.473835E+04,2.112651E+05,1.174598E+00,1.847082E+01,3.572482E+04,6.745051E+04,1.212543E+00,9.161545E+00,3.654903E+04,6.743946E+04,1.240510E+00,9.160090E+00,3.738315E+04,6.704490E+04,1.268814E+00,9.106549E+00,1.153809E+05,8.137350E+04,3.914663E+00,1.105676E+01,3.855981E+04,6.023111E+04,1.308738E+00,8.181102E+00
