Time,1 ZONE PVAV:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE PVAV:DesPer 1:Des Heat Cap [W],1 ZONE PVAV:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE PVAV:DesPer 1:Des Sens Cool Cap [W],1 ZONE PVAV:DesPer 1:Des Tot Cool Cap [W],1 ZONE PVAV:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE PVAV:DesPer 2:Des Heat Cap [W],1 ZONE PVAV:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE PVAV:DesPer 2:Des Sens Cool Cap [W],1 ZONE PVAV:DesPer 2:Des Tot Cool Cap [W],1 ZONE PVAV:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE PVAV:DesPer 3:Des Heat Cap [W],1 ZONE PVAV:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE PVAV:DesPer 3:Des Sens Cool Cap [W],1 ZONE PVAV:DesPer 3:Des Tot Cool Cap [W],1 ZONE PVAV 1:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE PVAV 1:DesPer 1:Des Heat Cap [W],1 ZONE PVAV 1:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE PVAV 1:DesPer 1:Des Sens Cool Cap [W],1 ZONE PVAV 1:DesPer 1:Des Tot Cool Cap [W],1 ZONE PVAV 1:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE PVAV 1:DesPer 2:Des Heat Cap [W],1 ZONE PVAV 1:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE PVAV 1:DesPer 2:Des Sens Cool Cap [W],1 ZONE PVAV 1:DesPer 2:Des Tot Cool Cap [W],1 ZONE PVAV 1:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE PVAV 1:DesPer 3:Des Heat Cap [W],1 ZONE PVAV 1:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE PVAV 1:DesPer 3:Des Sens Cool Cap [W],1 ZONE PVAV 1:DesPer 3:Des Tot Cool Cap [W],1 ZONE PVAV 2:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE PVAV 2:DesPer 1:Des Heat Cap [W],1 ZONE PVAV 2:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE PVAV 2:DesPer 1:Des Sens Cool Cap [W],1 ZONE PVAV 2:DesPer 1:Des Tot Cool Cap [W],1 ZONE PVAV 2:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE PVAV 2:DesPer 2:Des Heat Cap [W],1 ZONE PVAV 2:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE PVAV 2:DesPer 2:Des Sens Cool Cap [W],1 ZONE PVAV 2:DesPer 2:Des Tot Cool Cap [W],1 ZONE PVAV 2:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE PVAV 2:DesPer 3:Des Heat Cap [W],1 ZONE PVAV 2:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE PVAV 2:DesPer 3:Des Sens Cool Cap [W],1 ZONE PVAV 2:DesPer 3:Des Tot Cool Cap [W]
01:00:00,7.096615E+00,0.000000E+00,2.954713E+01,3.646258E+05,6.348091E+05,7.096615E+00,0.000000E+00,2.908263E+01,3.406172E+05,6.372808E+05,7.096615E+00,2.073564E+05,7.096615E+00,0.000000E+00,0.000000E+00,1.634844E+01,0.000000E+00,1.634844E+01,1.534071E+05,3.571894E+05,1.634844E+01,0.000000E+00,1.634844E+01,1.123374E+05,3.722020E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00,1.634844E+01,0.000000E+00,1.634844E+01,1.534071E+05,3.571894E+05,1.634844E+01,0.000000E+00,1.634844E+01,1.123374E+05,3.722020E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00
02:00:00,7.096615E+00,0.000000E+00,8.799002E+00,9.259309E+04,2.101480E+05,7.096615E+00,0.000000E+00,8.518222E+00,7.003526E+04,2.016941E+05,7.096615E+00,2.073564E+05,7.096615E+00,0.000000E+00,0.000000E+00,1.634844E+01,0.000000E+00,1.634844E+01,1.472959E+05,3.509273E+05,1.634844E+01,0.000000E+00,1.634844E+01,1.062263E+05,3.516330E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00,1.634844E+01,0.000000E+00,1.634844E+01,1.472959E+05,3.509273E+05,1.634844E+01,0.000000E+00,1.634844E+01,1.062263E+05,3.516330E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00
03:00:00,7.096615E+00,0.000000E+00,1.252190E+01,1.557482E+05,3.644478E+05,7.096615E+00,0.000000E+00,1.217256E+01,1.318801E+05,3.504053E+05,7.096615E+00,2.073564E+05,7.096615E+00,0.000000E+00,0.000000E+00,1.634844E+01,0.000000E+00,1.634844E+01,1.427126E+05,3.462310E+05,1.634844E+01,0.000000E+00,1.634844E+01,1.016429E+05,3.364100E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00,1.634844E+01,0.000000E+00,1.634844E+01,1.427126E+05,3.462310E+05,1.634844E+01,0.000000E+00,1.634844E+01,1.016429E+05,3.364100E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00
04:00:00,7.096615E+00,0.000000E+00,1.355531E+01,1.712760E+05,3.968843E+05,7.096615E+00,0.000000E+00,1.320802E+01,1.474539E+05,3.792721E+05,7.096615E+00,2.073564E+05,7.096615E+00,0.000000E+00,0.000000E+00,1.634844E+01,0.000000E+00,1.634844E+01,1.381292E+05,3.415344E+05,1.634844E+01,0.000000E+00,1.634844E+01,9.705951E+04,3.213587E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00,1.634844E+01,0.000000E+00,1.634844E+01,1.381292E+05,3.415344E+05,1.634844E+01,0.000000E+00,1.634844E+01,9.705951E+04,3.213587E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00
05:00:00,7.096615E+00,0.000000E+00,1.428820E+01,1.826071E+05,4.082896E+05,7.096615E+00,0.000000E+00,1.393528E+01,1.586888E+05,3.880675E+05,7.096615E+00,2.073564E+05,7.096615E+00,0.000000E+00,0.000000E+00,1.634844E+01,0.000000E+00,1.634844E+01,1.350736E+05,3.384036E+05,1.634844E+01,0.000000E+00,1.634844E+01,9.400393E+04,3.114186E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00,1.634844E+01,0.000000E+00,1.634844E+01,1.350736E+05,3.384036E+05,1.634844E+01,0.000000E+00,1.634844E+01,9.400393E+04,3.114186E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00
06:00:00,7.096615E+00,0.000000E+00,1.712974E+01,2.306188E+05,4.848460E+05,7.096615E+00,0.000000E+00,1.675864E+01,2.064632E+05,4.681913E+05,7.096615E+00,2.073564E+05,7.096615E+00,0.000000E+00,0.000000E+00,1.634844E+01,0.000000E+00,1.634844E+01,1.381292E+05,3.415344E+05,1.634844E+01,0.000000E+00,1.634844E+01,9.705951E+04,3.213587E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00,1.634844E+01,0.000000E+00,1.634844E+01,1.381292E+05,3.415344E+05,1.634844E+01,0.000000E+00,1.634844E+01,9.705951E+04,3.213587E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00
07:00:00,7.096615E+00,0.000000E+00,3.693448E+01,4.716352E+05,8.133919E+05,7.096615E+00,0.000000E+00,3.640971E+01,4.466129E+05,8.106354E+05,7.096615E+00,2.073564E+05,7.096615E+00,0.000000E+00,0.000000E+00,1.634844E+01,0.000000E+00,2.601789E+01,2.632940E+05,6.415419E+05,1.634844E+01,0.000000E+00,2.530625E+01,2.137913E+05,6.287101E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00,1.634844E+01,0.000000E+00,2.809346E+01,2.879088E+05,6.857238E+05,1.634844E+01,0.000000E+00,2.698906E+01,2.337477E+05,6.650486E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00
08:00:00,7.096615E+00,0.000000E+00,3.591843E+01,4.583449E+05,7.504634E+05,7.096615E+00,0.000000E+00,3.541916E+01,4.338854E+05,7.751330E+05,7.096615E+00,2.073564E+05,7.096615E+00,0.000000E+00,0.000000E+00,1.634844E+01,0.000000E+00,3.939657E+01,4.342552E+05,9.083454E+05,1.634844E+01,0.000000E+00,3.905019E+01,3.892807E+05,9.770966E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00,1.634844E+01,0.000000E+00,3.900115E+01,4.298117E+05,8.781579E+05,1.634844E+01,0.000000E+00,3.850705E+01,3.831724E+05,9.462910E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00
09:00:00,7.096615E+00,0.000000E+00,3.556508E+01,4.659649E+05,7.309799E+05,7.096615E+00,0.000000E+00,3.508049E+01,4.416995E+05,7.848238E+05,7.096615E+00,2.073564E+05,7.096615E+00,0.000000E+00,0.000000E+00,1.634844E+01,0.000000E+00,4.011410E+01,4.708626E+05,7.710725E+05,1.634844E+01,0.000000E+00,3.979016E+01,4.261285E+05,8.983859E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00,1.634844E+01,0.000000E+00,3.911882E+01,4.597588E+05,7.555604E+05,1.634844E+01,0.000000E+00,3.866216E+01,4.135269E+05,8.820139E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00
10:00:00,7.096615E+00,0.000000E+00,3.504442E+01,4.702835E+05,7.484211E+05,7.096615E+00,0.000000E+00,3.456303E+01,4.460530E+05,8.057255E+05,7.096615E+00,2.073564E+05,7.096615E+00,0.000000E+00,0.000000E+00,1.634844E+01,0.000000E+00,3.862558E+01,4.803994E+05,7.858395E+05,1.634844E+01,0.000000E+00,3.830528E+01,4.357107E+05,9.119302E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00,1.634844E+01,0.000000E+00,3.834283E+01,4.772540E+05,7.852834E+05,1.634844E+01,0.000000E+00,3.788871E+01,4.310542E+05,9.094174E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00
