Time,BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s]
01:00:00,6.643883E+04,3.464379E+05,2.101210E+00,2.569316E+01,4.476107E+04,3.856517E+04,1.513510E+00,2.198328E+00,6.102062E+04,3.509568E+04,2.063316E+00,1.999097E+00
02:00:00,6.643884E+04,1.330938E+05,2.101211E+00,7.651306E+00,4.476260E+04,4.077042E+04,1.513562E+00,2.321664E+00,6.102068E+04,5.845769E+04,2.063318E+00,3.329117E+00
03:00:00,6.643885E+04,1.912119E+05,2.101211E+00,1.088861E+01,4.476406E+04,5.753765E+04,1.513611E+00,3.275611E+00,6.102073E+04,7.740231E+04,2.063320E+00,4.407753E+00
04:00:00,6.643886E+04,2.063446E+05,2.101211E+00,1.178723E+01,4.476543E+04,7.319760E+04,1.513658E+00,4.175248E+00,6.102079E+04,9.042382E+04,2.063322E+00,5.163983E+00
05:00:00,6.643887E+04,2.175468E+05,2.101211E+00,1.242452E+01,4.476673E+04,8.194963E+04,1.513702E+00,4.679105E+00,6.102083E+04,9.765217E+04,2.063323E+00,5.583840E+00
06:00:00,6.643888E+04,2.573662E+05,2.101212E+00,1.489543E+01,4.476796E+04,1.111237E+05,1.513743E+00,6.445932E+00,6.102088E+04,1.205445E+05,2.063325E+00,6.999570E+00
07:00:00,6.643888E+04,4.473491E+05,2.101212E+00,3.211694E+01,4.476913E+04,2.791025E+05,1.513783E+00,2.262425E+01,6.102092E+04,3.006061E+05,2.063326E+00,2.442909E+01
08:00:00,6.643889E+04,4.209804E+05,2.101212E+00,3.123342E+01,4.477023E+04,3.917073E+05,1.513820E+00,3.425789E+01,6.102095E+04,3.877878E+05,2.063327E+00,3.391404E+01
09:00:00,6.643890E+04,4.165172E+05,2.101212E+00,3.092615E+01,4.477127E+04,3.980991E+05,1.513855E+00,3.488183E+01,6.102099E+04,3.883423E+05,2.063328E+00,3.401636E+01
10:00:00,6.643890E+04,4.103622E+05,2.101213E+00,3.047341E+01,4.477226E+04,3.837705E+05,1.513888E+00,3.358746E+01,6.102102E+04,3.810156E+05,2.063330E+00,3.334159E+01
