Time,BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 1:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 1:Des Heat Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 1:Des Cool Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 1:Des Sens Cool Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 1:Des Tot Cool Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 2:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 2:Des Heat Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 2:Des Cool Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 2:Des Sens Cool Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 2:Des Tot Cool Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 3:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 3:Des Heat Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 3:Des Cool Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 3:Des Sens Cool Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 3:Des Tot Cool Cap [W],BUILDING STORY 2 THERMALZONE PSZ-AC:DesPer 1:Des Heat Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE PSZ-AC:DesPer 1:Des Heat Cap [W],BUILDING STORY 2 THERMALZONE PSZ-AC:DesPer 1:Des Cool Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE PSZ-AC:DesPer 1:Des Sens Cool Cap [W],BUILDING STORY 2 THERMALZONE PSZ-AC:DesPer 1:Des Tot Cool Cap [W],BUILDING STORY 2 THERMALZONE PSZ-AC:DesPer 2:Des Heat Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE PSZ-AC:DesPer 2:Des Heat Cap [W],BUILDING STORY 2 THERMALZONE PSZ-AC:DesPer 2:Des Cool Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE PSZ-AC:DesPer 2:Des Sens Cool Cap [W],BUILDING STORY 2 THERMALZONE PSZ-AC:DesPer 2:Des Tot Cool Cap [W],BUILDING STORY 2 THERMALZONE PSZ-AC:DesPer 3:Des Heat Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE PSZ-AC:DesPer 3:Des Heat Cap [W],BUILDING STORY 2 THERMALZONE PSZ-AC:DesPer 3:Des Cool Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE PSZ-AC:DesPer 3:Des Sens Cool Cap [W],BUILDING STORY 2 THERMALZONE PSZ-AC:DesPer 3:Des Tot Cool Cap [W],BUILDING STORY 3 THERMALZONE PSZ-AC:DesPer 1:Des Heat Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE PSZ-AC:DesPer 1:Des Heat Cap [W],BUILDING STORY 3 THERMALZONE PSZ-AC:DesPer 1:Des Cool Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE PSZ-AC:DesPer 1:Des Sens Cool Cap [W],BUILDING STORY 3 THERMALZONE PSZ-AC:DesPer 1:Des Tot Cool Cap [W],BUILDING STORY 3 THERMALZONE PSZ-AC:DesPer 2:Des Heat Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE PSZ-AC:DesPer 2:Des Heat Cap [W],BUILDING STORY 3 THERMALZONE PSZ-AC:DesPer 2:Des Cool Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE PSZ-AC:DesPer 2:Des Sens Cool Cap [W],BUILDING STORY 3 THERMALZONE PSZ-AC:DesPer 2:Des Tot Cool Cap [W],BUILDING STORY 3 THERMALZONE PSZ-AC:DesPer 3:Des Heat Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE PSZ-AC:DesPer 3:Des Heat Cap [W],BUILDING STORY 3 THERMALZONE PSZ-AC:DesPer 3:Des Cool Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE PSZ-AC:DesPer 3:Des Sens Cool Cap [W],BUILDING STORY 3 THERMALZONE PSZ-AC:DesPer 3:Des Tot Cool Cap [W]
01:00:00,1.786267E+00,5.005026E+04,7.389570E+00,9.114432E+04,1.591217E+05,1.786267E+00,5.453763E+04,7.244899E+00,8.473495E+04,1.593799E+05,1.786267E+00,1.190049E+05,1.786267E+00,0.000000E+00,0.000000E+00,4.115015E+00,1.153006E+05,4.115015E+00,3.861363E+04,8.990703E+04,4.115015E+00,1.256381E+05,4.115015E+00,2.827611E+04,9.368582E+04,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00,4.115015E+00,1.153006E+05,4.115015E+00,3.861363E+04,8.990703E+04,4.115015E+00,1.256381E+05,4.115015E+00,2.827611E+04,9.368582E+04,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00
02:00:00,1.786267E+00,5.071798E+04,2.123510E+00,2.176949E+04,4.990593E+04,1.786267E+00,5.520535E+04,2.042615E+00,1.591988E+04,4.737237E+04,1.786267E+00,1.190049E+05,1.786267E+00,0.000000E+00,0.000000E+00,4.115015E+00,1.168388E+05,4.115015E+00,3.707540E+04,8.833082E+04,4.115015E+00,1.271763E+05,4.115015E+00,2.673788E+04,8.850846E+04,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00,4.115015E+00,1.168388E+05,4.115015E+00,3.707540E+04,8.833082E+04,4.115015E+00,1.271763E+05,4.115015E+00,2.673788E+04,8.850846E+04,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00
03:00:00,1.786267E+00,5.121877E+04,3.046494E+00,3.738183E+04,8.831459E+04,1.786267E+00,5.570614E+04,2.937327E+00,3.100692E+04,8.393580E+04,1.786267E+00,1.190049E+05,1.786267E+00,0.000000E+00,0.000000E+00,4.115015E+00,1.179925E+05,4.115015E+00,3.592174E+04,8.714873E+04,4.115015E+00,1.283300E+05,4.115015E+00,2.558422E+04,8.467671E+04,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00,4.115015E+00,1.179925E+05,4.115015E+00,3.592174E+04,8.714873E+04,4.115015E+00,1.283300E+05,4.115015E+00,2.558422E+04,8.467671E+04,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00
04:00:00,1.786267E+00,5.171956E+04,3.324051E+00,4.159593E+04,9.739609E+04,1.786267E+00,5.620693E+04,3.217206E+00,3.526476E+04,9.231901E+04,1.786267E+00,1.190049E+05,1.786267E+00,0.000000E+00,0.000000E+00,4.115015E+00,1.191461E+05,4.115015E+00,3.476807E+04,8.596657E+04,4.115015E+00,1.294837E+05,4.115015E+00,2.443055E+04,8.088820E+04,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00,4.115015E+00,1.191461E+05,4.115015E+00,3.476807E+04,8.596657E+04,4.115015E+00,1.294837E+05,4.115015E+00,2.443055E+04,8.088820E+04,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00
05:00:00,1.786267E+00,5.205342E+04,3.509731E+00,4.446877E+04,1.004529E+05,1.786267E+00,5.654079E+04,3.400772E+00,3.810125E+04,9.477700E+04,1.786267E+00,1.190049E+05,1.786267E+00,0.000000E+00,0.000000E+00,4.115015E+00,1.199152E+05,4.115015E+00,3.399896E+04,8.517853E+04,4.115015E+00,1.302528E+05,4.115015E+00,2.366144E+04,7.838622E+04,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00,4.115015E+00,1.199152E+05,4.115015E+00,3.399896E+04,8.517853E+04,4.115015E+00,1.302528E+05,4.115015E+00,2.366144E+04,7.838622E+04,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00
06:00:00,1.786267E+00,5.171956E+04,4.217378E+00,5.644179E+04,1.197253E+05,1.786267E+00,5.620693E+04,4.103184E+00,5.000761E+04,1.150230E+05,1.786267E+00,1.190049E+05,1.786267E+00,0.000000E+00,0.000000E+00,4.115015E+00,1.191461E+05,4.115015E+00,3.476807E+04,8.596657E+04,4.115015E+00,1.294837E+05,4.115015E+00,2.443055E+04,8.088820E+04,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00,4.115015E+00,1.191461E+05,4.115015E+00,3.476807E+04,8.596657E+04,4.115015E+00,1.294837E+05,4.115015E+00,2.443055E+04,8.088820E+04,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00
07:00:00,1.786267E+00,5.055105E+04,9.183278E+00,1.171582E+05,2.032902E+05,1.786267E+00,5.503842E+04,9.021603E+00,1.104550E+05,2.022510E+05,1.786267E+00,1.190049E+05,1.786267E+00,0.000000E+00,0.000000E+00,4.115015E+00,1.164542E+05,6.130348E+00,6.131448E+04,1.508371E+05,4.115015E+00,1.267918E+05,5.719344E+00,4.610931E+04,1.409977E+05,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00,4.115015E+00,1.164542E+05,6.732641E+00,6.845416E+04,1.646295E+05,4.115015E+00,1.267918E+05,6.353565E+00,5.362335E+04,1.569257E+05,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00
08:00:00,1.786267E+00,4.771324E+04,9.006580E+00,1.149130E+05,1.889325E+05,1.786267E+00,5.220061E+04,8.850962E+00,1.083588E+05,1.947590E+05,1.786267E+00,1.190049E+05,1.786267E+00,0.000000E+00,0.000000E+00,4.115015E+00,1.099168E+05,9.835571E+00,1.083929E+05,2.317173E+05,4.115015E+00,1.202543E+05,9.703979E+00,9.657074E+04,2.514633E+05,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00,4.115015E+00,1.099168E+05,9.815886E+00,1.081741E+05,2.243944E+05,4.115015E+00,1.202543E+05,9.641995E+00,9.587635E+04,2.418863E+05,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00
09:00:00,1.786267E+00,4.454157E+04,8.989291E+00,1.177815E+05,1.849895E+05,1.786267E+00,4.902894E+04,8.838388E+00,1.112897E+05,1.982414E+05,1.786267E+00,1.190049E+05,1.786267E+00,0.000000E+00,0.000000E+00,4.115015E+00,1.026102E+05,1.008529E+01,1.183758E+05,1.952445E+05,4.115015E+00,1.129478E+05,9.962902E+00,1.066464E+05,2.276733E+05,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00,4.115015E+00,1.026102E+05,9.929935E+00,1.166546E+05,1.925306E+05,4.115015E+00,1.129478E+05,9.768623E+00,1.044927E+05,2.240848E+05,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00
10:00:00,1.786267E+00,4.170377E+04,8.966119E+00,1.202993E+05,1.912632E+05,1.786267E+00,4.619113E+04,8.709192E+00,1.123998E+05,2.033312E+05,1.786267E+00,1.190049E+05,1.786267E+00,0.000000E+00,0.000000E+00,4.115015E+00,9.607278E+04,9.759254E+00,1.213286E+05,1.982921E+05,4.115015E+00,1.064103E+05,9.637356E+00,1.096095E+05,2.294889E+05,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00,4.115015E+00,9.607278E+04,9.783146E+00,1.216081E+05,1.997074E+05,4.115015E+00,1.064103E+05,9.622089E+00,1.094509E+05,2.306072E+05,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00
