Time,BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s]
01:00:00,1.642900E+04,5.133426E+03,5.555140E-01,2.921102E-01
02:00:00,1.642900E+04,1.589898E+04,5.555140E-01,9.132689E-01
03:00:00,1.642900E+04,1.883318E+04,5.555141E-01,1.073808E+00
04:00:00,1.642900E+04,2.130897E+04,5.555141E-01,1.217480E+00
05:00:00,1.642900E+04,2.227703E+04,5.555141E-01,1.274887E+00
06:00:00,1.642900E+04,2.688123E+04,5.555141E-01,1.562095E+00
07:00:00,1.642900E+04,7.131957E+04,5.555141E-01,5.815550E+00
08:00:00,1.642900E+04,8.249830E+04,5.555141E-01,7.213797E+00
09:00:00,1.642901E+04,8.126412E+04,5.555141E-01,7.114457E+00
10:00:00,1.642901E+04,7.952469E+04,5.555141E-01,6.957330E+00
11:00:00,1.642901E+04,7.994476E+04,5.555142E-01,6.994051E+00
12:00:00,1.642901E+04,7.908038E+04,5.555142E-01,6.919791E+00
13:00:00,1.642901E+04,7.839759E+04,5.555142E-01,6.860054E+00
14:00:00,1.642901E+04,7.818695E+04,5.555142E-01,6.841464E+00
15:00:00,1.642901E+04,7.785182E+04,5.555142E-01,6.812209E+00
16:00:00,1.642901E+04,7.738470E+04,5.555142E-01,6.771394E+00
17:00:00,1.642901E+04,7.713927E+04,5.555142E-01,6.749928E+00
18:00:00,1.642901E+04,7.641662E+04,5.555142E-01,6.686733E+00
19:00:00,1.642901E+04,7.422227E+04,5.555142E-01,6.494692E+00
20:00:00,1.642901E+04,7.011195E+04,5.555142E-01,6.134870E+00
21:00:00,1.642901E+04,6.784606E+04,5.555142E-01,5.936401E+00
22:00:00,1.642901E+04,6.668808E+04,5.555142E-01,5.835386E+00
23:00:00,1.642901E+04,6.581590E+04,5.555142E-01,5.759447E+00
24:00:00,1.642901E+04,6.505915E+04,5.555142E-01,5.693460E+00
Peak,1.642901E+04,8.249830E+04,5.555142E-01,7.213797E+00

Peak Vol Flow (m3/s),,,4.732109E-01,6.145022E+00
