Datetime,Electricity:Facility(kWh),ElectricityProduced:Facility(),Gas:Facility(kBtu),DistrictCooling:Facility(),DistrictHeating:Facility(),District Cooling Chilled Water Rate(),District Cooling Mass Flow Rate(),District Cooling Inlet Temperature(),District Cooling Outlet Temperature(),District Heating Hot Water Rate(),District Heating Mass Flow Rate(),District Heating Inlet Temperature(),District Heating Outlet Temperature(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 1(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT KITCHEN PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT KITCHEN PEOPLE 1(),Net Electric Energy(kWh),Electricity:Facility Power(kW),ElectricityProduced:Facility Power(kW),Electricity:Facility Apparent Power(kW),ElectricityProduced:Facility Apparent Power(kW),Net Power(kW),Net Apparent Power(kW)
2019/01/01 01:00:00,816.8418180769905,0.0,9716.093315347207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.46294392044367977,-0.46294392044367977,9.473999501598811,9.473999501598811,816.8418180769905,816.8418180769905,0.0,907.602020085545,0.0,816.8418180769905,907.602020085545
2019/01/01 02:00:00,535.122754597939,0.0,730.271682523001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.36595207332188423,-0.36595207332188423,7.787640840137385,7.787640840137385,535.122754597939,535.122754597939,0.0,594.5808384421545,0.0,535.122754597939,594.5808384421545
2019/01/01 03:00:00,617.5785532258998,0.0,950.2550629165272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.39462862398849485,-0.39462862398849485,8.244286190937899,8.244286190937899,617.5785532258998,617.5785532258998,0.0,686.1983924732219,0.0,617.5785532258998,686.1983924732219
2019/01/01 04:00:00,535.1227493566593,0.0,844.9457694691747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.39414820271873235,-0.39414820271873235,8.236346702536679,8.236346702536679,535.1227493566593,535.1227493566593,0.0,594.5808326185103,0.0,535.1227493566593,594.5808326185103
2019/01/01 05:00:00,829.5303242378238,0.0,1588.7083305735184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3754330824132742,-0.3754330824132742,7.934732994201511,7.934732994201511,829.5303242378238,829.5303242378238,0.0,921.7003602642487,0.0,829.5303242378238,921.7003602642487
2019/01/01 06:00:00,1858.035101108488,0.0,4046.5805542025087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.31742730757638965,-0.31742730757638965,7.094685561309191,7.094685561309191,1858.035101108488,1858.035101108488,0.0,2064.4834456760977,0.0,1858.035101108488,2064.4834456760977
2019/01/01 07:00:00,2150.250679092776,0.0,13289.565595866437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07332078832492622,-0.07332078832492622,5.1113114007460325,5.1113114007460325,2150.250679092776,2150.250679092776,0.0,2389.167421214195,0.0,2150.250679092776,2389.167421214195
2019/01/01 08:00:00,3156.1886981881976,0.0,24893.92772023953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08799430539754939,0.08799430539754939,5.160339438539296,5.160339438539296,3156.1886981881976,3156.1886981881976,0.0,3506.87633132022,0.0,3156.1886981881976,3506.87633132022
2019/01/01 09:00:00,3379.533846936707,0.0,24972.75827883983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25852561356506515,-0.25852561356506515,6.387524509127445,6.387524509127445,3379.533846936707,3379.533846936707,0.0,3755.037607707452,0.0,3379.533846936707,3755.037607707452
2019/01/01 10:00:00,3740.7940541828616,0.0,24735.00608988014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3406318957314719,-0.3406318957314719,7.413576023978948,7.413576023978948,3740.7940541828616,3740.7940541828616,0.0,4156.437837980958,0.0,3740.7940541828616,4156.437837980958
