Datetime,Electricity:Facility(kWh),ElectricityProduced:Facility(),Gas:Facility(kBtu),DistrictCooling:Facility(),DistrictHeating:Facility(),District Cooling Chilled Water Rate(),District Cooling Mass Flow Rate(),District Cooling Inlet Temperature(),District Cooling Outlet Temperature(),District Heating Hot Water Rate(),District Heating Mass Flow Rate(),District Heating Inlet Temperature(),District Heating Outlet Temperature(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 1(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT KITCHEN PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT KITCHEN PEOPLE 1(),Net Electric Energy(kWh),Electricity:Facility Power(kW),ElectricityProduced:Facility Power(kW),Electricity:Facility Apparent Power(kW),ElectricityProduced:Facility Apparent Power(kW),Net Power(kW),Net Apparent Power(kW)
2019/01/01 01:00:00,12.6170822383533,0,184.07654805256078,0,0,0,0,0,0,0,0,0,0,-0.4619139753591368,-0.4619139753591368,9.453971031385478,9.453971031385478,12.6170822383533,12.6170822383533,0.0,14.018980264837,0.0,12.6170822383533,14.018980264837
2019/01/01 02:00:00,8.132271707351693,0,13.717552259070699,0,0,0,0,0,0,0,0,0,0,-0.3627762409571289,-0.3627762409571289,7.739226346875526,7.739226346875526,8.132271707351693,8.132271707351693,0.0,9.035857452612992,0.0,8.132271707351693,9.035857452612992
2019/01/01 03:00:00,9.694706258089207,0,17.994724694800635,0,0,0,0,0,0,0,0,0,0,-0.3897790126085926,-0.3897790126085926,8.164593930221884,8.164593930221884,9.694706258089207,9.694706258089207,0.0,10.77189584232134,0.0,9.694706258089207,10.77189584232134
2019/01/01 04:00:00,8.132293982840578,0,11.996483129867093,0,0,0,0,0,0,0,0,0,0,-0.38889746343415615,-0.38889746343415615,8.150215652475197,8.150215652475197,8.132293982840578,8.132293982840578,0.0,9.035882203156197,0.0,8.132293982840578,9.035882203156197
2019/01/01 05:00:00,12.819575079498007,0,29.991207824667725,0,0,0,0,0,0,0,0,0,0,-0.3712419289313596,-0.3712419289313596,7.869237121853686,7.869237121853686,12.819575079498007,12.819575079498007,0.0,14.24397231055334,0.0,12.819575079498007,14.24397231055334
2019/01/01 06:00:00,24.12005946485179,0,77.9894371015376,0,0,0,0,0,0,0,0,0,0,-0.31214325881312016,-0.31214325881312016,7.025260187832856,7.025260187832856,24.12005946485179,24.12005946485179,0.0,26.800066072057543,0.0,24.12005946485179,26.800066072057543
2019/01/01 07:00:00,29.58139809618035,0,236.90992438173816,0,0,0,0,0,0,0,0,0,0,-0.06835387096202794,-0.06835387096202794,5.096738194235968,5.096738194235968,29.58139809618035,29.58139809618035,0.0,32.86822010686706,0.0,29.58139809618035,32.86822010686706
2019/01/01 08:00:00,56.46226608355128,0,418.7838813005685,0,0,0,0,0,0,0,0,0,0,0.09356603200833535,0.09356603200833535,5.181295570520149,5.181295570520149,56.46226608355128,56.46226608355128,0.0,62.73585120394586,0.0,56.46226608355128,62.73585120394586
2019/01/01 09:00:00,57.380380919318185,0,448.1512960760903,0,0,0,0,0,0,0,0,0,0,-0.25541431814693,-0.25541431814693,6.354238676013665,6.354238676013665,57.380380919318185,57.380380919318185,0.0,63.75597879924243,0.0,57.380380919318185,63.75597879924243
2019/01/01 10:00:00,60.0443844979132,0,434.03429004953415,0,0,0,0,0,0,0,0,0,0,-0.3389296349581928,-0.3389296349581928,7.389405883414739,7.389405883414739,60.0443844979132,60.0443844979132,0.0,66.71598277545911,0.0,60.0443844979132,66.71598277545911
2019/01/01 11:00:00,69.92697745274953,0,455.7048937388905,0,0,0,0,0,0,0,0,0,0,-0.33189324839885265,-0.33189324839885265,7.29080286834386,7.29080286834386,69.92697745274953,69.92697745274953,0.0,77.69664161416614,0.0,69.92697745274953,77.69664161416614
2019/01/01 12:00:00,75.436157928334,0,416.71143539004277,0,0,0,0,0,0,0,0,0,0,-0.3077181649949107,-0.3077181649949107,6.96802987572066,6.96802987572066,75.436157928334,75.436157928334,0.0,83.81795325370445,0.0,75.436157928334,83.81795325370445
2019/01/01 13:00:00,71.49841855404236,0,351.0728203722938,0,0,0,0,0,0,0,0,0,0,-0.28341161060608056,-0.28341161060608056,6.668434488909654,6.668434488909654,71.49841855404236,71.49841855404236,0.0,79.44268728226929,0.0,71.49841855404236,79.44268728226929
2019/01/01 14:00:00,67.61311756147774,0,340.1347562646192,0,0,0,0,0,0,0,0,0,0,-0.2761861456269488,-0.2761861456269488,6.584185487462406,6.584185487462406,67.61311756147774,67.61311756147774,0.0,75.1256861794197,0.0,67.61311756147774,75.1256861794197
2019/01/01 15:00:00,63.76916574337309,0,373.8154271905707,0,0,0,0,0,0,0,0,0,0,-0.288818546889978,-0.288818546889978,6.732920346100499,6.732920346100499,63.76916574337309,63.76916574337309,0.0,70.85462860374787,0.0,63.76916574337309,70.85462860374787
2019/01/01 16:00:00,63.70141924166583,0,416.85691730204184,0,0,0,0,0,0,0,0,0,0,-0.3041082844260045,-0.3041082844260045,6.921956533664186,6.921956533664186,63.70141924166583,63.70141924166583,0.0,70.77935471296203,0.0,63.70141924166583,70.77935471296203
2019/01/01 17:00:00,68.44038807999219,0,414.7510515346172,0,0,0,0,0,0,0,0,0,0,-0.30747400873113556,-0.30747400873113556,6.964896295683701,6.964896295683701,68.44038807999219,68.44038807999219,0.0,76.04487564443576,0.0,68.44038807999219,76.04487564443576
2019/01/01 18:00:00,75.4033183686716,0,399.80481202212786,0,0,0,0,0,0,0,0,0,0,-0.30293590440477736,-0.30293590440477736,6.907111890874447,6.907111890874447,75.4033183686716,75.4033183686716,0.0,83.78146485407956,0.0,75.4033183686716,83.78146485407956
2019/01/01 19:00:00,74.63728372723091,0,369.83406491860046,0,0,0,0,0,0,0,0,0,0,-0.2906383538433053,-0.2906383538433053,6.754901880526802,6.754901880526802,74.63728372723091,74.63728372723091,0.0,82.93031525247879,0.0,74.63728372723091,82.93031525247879
