Time,BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 10 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 10 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 10 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 10 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE::Des Heat Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 2 THERMALZONE::Des Heat Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 7 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 7 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 7 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 7 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 8 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 8 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 8 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 8 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 9 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 9 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 9 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 9 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
01:00:00,5.205307E+03,0.000000E+00,2.352317E-01,0.000000E+00,9.380251E+04,4.612599E+03,4.237341E+00,3.698037E-01,0.000000E+00,7.477945E+04,0.000000E+00,5.996771E+00,1.620095E+05,0.000000E+00,7.313781E+00,0.000000E+00,1.119294E+05,5.722044E+04,5.052478E+00,4.590428E+00,2.112574E+04,2.585572E+04,9.544226E-01,2.073182E+00,1.659503E+05,2.476225E+04,7.490165E+00,1.986147E+00,2.555359E+04,2.415592E+04,1.154402E+00,1.936904E+00,1.834444E+04,3.668841E+04,8.288223E-01,2.942165E+00,3.697687E+04,1.166384E+04,1.670185E+00,9.351764E-01
02:00:00,5.080147E+03,0.000000E+00,2.295717E-01,0.000000E+00,9.475232E+04,2.586109E+03,4.280199E+00,2.073298E-01,0.000000E+00,7.241080E+04,0.000000E+00,5.806300E+00,1.629922E+05,0.000000E+00,7.357825E+00,0.000000E+00,1.137477E+05,5.308928E+04,5.134449E+00,4.258876E+00,2.180470E+04,2.455609E+04,9.850806E-01,1.968948E+00,1.673639E+05,2.055889E+04,7.553597E+00,1.648896E+00,2.620153E+04,2.285268E+04,1.183653E+00,1.832386E+00,1.926070E+04,3.487260E+04,8.702018E-01,2.796403E+00,3.729923E+04,1.068743E+04,1.684613E+00,8.568905E-01
03:00:00,5.410126E+03,0.000000E+00,2.444819E-01,0.000000E+00,9.555155E+04,9.871195E+02,4.316318E+00,7.913568E-02,0.000000E+00,7.032464E+04,0.000000E+00,5.638848E+00,1.638266E+05,0.000000E+00,7.395449E+00,0.000000E+00,1.151311E+05,4.995729E+04,5.197031E+00,4.007608E+00,2.242891E+04,2.344964E+04,1.013272E+00,1.880219E+00,1.685537E+05,1.722015E+04,7.607266E+00,1.381056E+00,2.679704E+04,2.174802E+04,1.210546E+00,1.743802E+00,2.011277E+04,3.328244E+04,9.086813E-01,2.668830E+00,3.759383E+04,9.864398E+03,1.697926E+00,7.909010E-01
04:00:00,5.493849E+03,0.000000E+00,2.482626E-01,0.000000E+00,9.621523E+04,0.000000E+00,4.346315E+00,0.000000E+00,0.000000E+00,6.841589E+04,0.000000E+00,5.485796E+00,1.645191E+05,0.000000E+00,7.426715E+00,0.000000E+00,1.161684E+05,4.733201E+04,5.243943E+00,3.797016E+00,2.299842E+04,2.242376E+04,1.038994E+00,1.797961E+00,1.695536E+05,1.424531E+04,7.652421E+00,1.142430E+00,2.733816E+04,2.072241E+04,1.234983E+00,1.661564E+00,2.089852E+04,3.179722E+04,9.441664E-01,2.549723E+00,3.786212E+04,9.083648E+03,1.710045E+00,7.283011E-01
05:00:00,5.542301E+03,1.078987E+04,2.504503E-01,8.800711E-01,9.677250E+04,2.609981E+03,4.371497E+00,2.096241E-01,0.000000E+00,9.217657E+04,0.000000E+00,7.391038E+00,1.651005E+05,0.000000E+00,7.452975E+00,0.000000E+00,1.169472E+05,8.648390E+04,5.279137E+00,6.937808E+00,2.352214E+04,3.004964E+04,1.062648E+00,2.409411E+00,1.703990E+05,3.606378E+04,7.690601E+00,2.892077E+00,2.783312E+04,2.785925E+04,1.257333E+00,2.233809E+00,2.162718E+04,4.364038E+04,9.770747E-01,3.499393E+00,3.822690E+04,1.191208E+04,1.726503E+00,9.550732E-01
06:00:00,5.571631E+03,0.000000E+00,2.517743E-01,0.000000E+00,9.723211E+04,0.000000E+00,4.392264E+00,0.000000E+00,0.000000E+00,2.182543E+04,0.000000E+00,1.288878E+00,1.655803E+05,0.000000E+00,7.474645E+00,0.000000E+00,1.175277E+05,1.660673E+04,5.305363E+00,9.790162E-01,2.400429E+04,0.000000E+00,1.084422E+00,0.000000E+00,1.710998E+05,0.000000E+00,7.722251E+00,0.000000E+00,2.828524E+04,0.000000E+00,1.277746E+00,0.000000E+00,2.230447E+04,0.000000E+00,1.007663E+00,0.000000E+00,3.864799E+04,0.000000E+00,1.745597E+00,0.000000E+00
07:00:00,5.589929E+03,1.229844E+05,2.526000E-01,1.167696E+01,9.762005E+04,5.614113E+04,4.409792E+00,5.183971E+00,0.000000E+00,1.952380E+05,0.000000E+00,1.769604E+01,1.659856E+05,6.269020E+04,7.492951E+00,6.031452E+00,1.179702E+05,2.893126E+05,5.325358E+00,2.691357E+01,2.444880E+04,1.010825E+05,1.104496E+00,9.225944E+00,1.716946E+05,1.730011E+05,7.749116E+00,1.629424E+01,2.869713E+04,9.546456E+04,1.296341E+00,8.709260E+00,2.293631E+04,1.249144E+05,1.036200E+00,1.135530E+01,3.908959E+04,5.028452E+04,1.765602E+00,4.449044E+00
08:00:00,2.903831E+04,9.879572E+04,1.369958E+00,1.027497E+01,1.514047E+05,6.815419E+04,7.613568E+00,7.087939E+00,0.000000E+00,2.303052E+05,0.000000E+00,2.395723E+01,2.239016E+05,7.922643E+04,1.130093E+01,8.240387E+00,1.343751E+05,2.964519E+05,6.743354E+00,3.084116E+01,5.136803E+04,1.018709E+05,2.508924E+00,1.059438E+01,2.093851E+05,2.013843E+05,1.056165E+01,2.095148E+01,5.462356E+04,9.863254E+04,2.676473E+00,1.025763E+01,4.962465E+04,1.418607E+05,2.420783E+00,1.475553E+01,7.222893E+04,6.525070E+04,3.578043E+00,6.785738E+00
09:00:00,0.000000E+00,1.217453E+05,0.000000E+00,1.266560E+01,1.152677E+05,9.413380E+04,5.980077E+00,9.794411E+00,0.000000E+00,2.717006E+05,0.000000E+00,2.828500E+01,1.872726E+05,1.046094E+05,9.713380E+00,1.088943E+01,9.698060E+04,3.483776E+05,5.030341E+00,3.626564E+01,3.750702E+04,1.314126E+05,1.945931E+00,1.367101E+01,1.732527E+05,2.427505E+05,8.985781E+00,2.528023E+01,4.319142E+04,1.276471E+05,2.240828E+00,1.327961E+01,2.885301E+04,1.747567E+05,1.496954E+00,1.819066E+01,6.508204E+04,8.941383E+04,3.376465E+00,9.302626E+00
10:00:00,0.000000E+00,1.205299E+05,0.000000E+00,1.253810E+01,1.132332E+05,1.002798E+05,5.873591E+00,1.043295E+01,0.000000E+00,2.681759E+05,0.000000E+00,2.792287E+01,1.844090E+05,1.141977E+05,9.560748E+00,1.188851E+01,4.372648E+04,3.544032E+05,2.267592E+00,3.689757E+01,3.923729E+04,1.288394E+05,2.035336E+00,1.340355E+01,1.471543E+05,2.546521E+05,7.628906E+00,2.652379E+01,4.540378E+04,1.252244E+05,2.355120E+00,1.302766E+01,2.759393E+04,1.730206E+05,1.431453E+00,1.801208E+01,7.217425E+04,8.771715E+04,3.743446E+00,9.125609E+00
