Time,1 ZONE VAV:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE VAV:DesPer 1:Des Heat Cap [W],1 ZONE VAV:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE VAV:DesPer 1:Des Sens Cool Cap [W],1 ZONE VAV:DesPer 1:Des Tot Cool Cap [W],1 ZONE VAV:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE VAV:DesPer 2:Des Heat Cap [W],1 ZONE VAV:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE VAV:DesPer 2:Des Sens Cool Cap [W],1 ZONE VAV:DesPer 2:Des Tot Cool Cap [W],1 ZONE VAV:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE VAV:DesPer 3:Des Heat Cap [W],1 ZONE VAV:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE VAV:DesPer 3:Des Sens Cool Cap [W],1 ZONE VAV:DesPer 3:Des Tot Cool Cap [W],1 ZONE VAV 1:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE VAV 1:DesPer 1:Des Heat Cap [W],1 ZONE VAV 1:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE VAV 1:DesPer 1:Des Sens Cool Cap [W],1 ZONE VAV 1:DesPer 1:Des Tot Cool Cap [W],1 ZONE VAV 1:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE VAV 1:DesPer 2:Des Heat Cap [W],1 ZONE VAV 1:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE VAV 1:DesPer 2:Des Sens Cool Cap [W],1 ZONE VAV 1:DesPer 2:Des Tot Cool Cap [W],1 ZONE VAV 1:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE VAV 1:DesPer 3:Des Heat Cap [W],1 ZONE VAV 1:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE VAV 1:DesPer 3:Des Sens Cool Cap [W],1 ZONE VAV 1:DesPer 3:Des Tot Cool Cap [W]
01:00:00,1.414029E+01,0.000000E+00,5.765400E+01,6.231614E+05,8.372520E+05,1.414029E+01,0.000000E+00,5.716646E+01,5.821146E+05,8.473763E+05,1.414029E+01,4.131660E+05,1.414029E+01,0.000000E+00,0.000000E+00,2.055289E+00,0.000000E+00,1.633256E+01,1.802569E+05,2.216350E+05,2.055289E+00,0.000000E+00,1.505491E+01,1.606771E+05,2.124958E+05,1.332558E+01,0.000000E+00,2.055289E+00,0.000000E+00,0.000000E+00
02:00:00,1.414029E+01,0.000000E+00,5.750063E+01,6.161463E+05,8.301153E+05,1.414029E+01,0.000000E+00,5.701294E+01,5.751032E+05,8.271897E+05,1.414029E+01,4.131660E+05,1.414029E+01,0.000000E+00,0.000000E+00,2.055289E+00,0.000000E+00,1.590389E+01,1.746552E+05,2.159576E+05,2.055289E+00,0.000000E+00,1.462420E+01,1.550551E+05,2.040019E+05,1.332558E+01,0.000000E+00,2.055289E+00,0.000000E+00,0.000000E+00
03:00:00,1.414029E+01,0.000000E+00,5.736390E+01,6.106403E+05,8.245085E+05,1.414029E+01,0.000000E+00,5.687602E+01,5.696002E+05,8.119990E+05,1.414029E+01,4.131660E+05,1.414029E+01,0.000000E+00,0.000000E+00,2.055289E+00,0.000000E+00,1.554786E+01,1.700645E+05,2.113250E+05,2.055289E+00,0.000000E+00,1.426445E+01,1.504248E+05,1.972709E+05,1.332558E+01,0.000000E+00,2.055289E+00,0.000000E+00,0.000000E+00
04:00:00,1.414029E+01,0.000000E+00,5.723291E+01,6.051992E+05,8.189571E+05,1.414029E+01,0.000000E+00,5.674489E+01,5.641616E+05,7.971478E+05,1.414029E+01,4.131660E+05,1.414029E+01,0.000000E+00,0.000000E+00,2.055289E+00,0.000000E+00,1.523672E+01,1.659800E+05,2.071884E+05,2.055289E+00,0.000000E+00,1.394596E+01,1.462592E+05,1.912237E+05,1.332558E+01,0.000000E+00,2.055289E+00,0.000000E+00,0.000000E+00
05:00:00,1.414029E+01,0.000000E+00,5.711774E+01,6.012578E+05,8.149392E+05,1.414029E+01,0.000000E+00,5.662961E+01,5.602221E+05,7.869280E+05,1.414029E+01,4.131660E+05,1.414029E+01,0.000000E+00,0.000000E+00,2.055289E+00,0.000000E+00,1.497565E+01,1.626521E+05,2.038201E+05,2.055289E+00,0.000000E+00,1.368139E+01,1.428931E+05,1.865369E+05,1.332558E+01,0.000000E+00,2.055289E+00,0.000000E+00,0.000000E+00
06:00:00,1.414029E+01,0.000000E+00,2.164310E+01,2.404933E+05,4.286123E+05,1.414029E+01,0.000000E+00,2.136738E+01,2.005038E+05,4.066907E+05,1.414029E+01,4.131660E+05,1.414029E+01,0.000000E+00,0.000000E+00,2.055289E+00,0.000000E+00,2.055289E+00,1.736529E+04,4.293694E+04,2.055289E+00,0.000000E+00,2.055289E+00,1.220211E+04,4.040050E+04,1.332558E+01,0.000000E+00,2.055289E+00,0.000000E+00,0.000000E+00
07:00:00,1.414029E+01,0.000000E+00,4.724579E+01,5.250392E+05,7.489210E+05,1.414029E+01,0.000000E+00,4.702098E+01,4.867895E+05,7.513243E+05,1.414029E+01,4.131660E+05,1.414029E+01,0.000000E+00,0.000000E+00,2.055289E+00,0.000000E+00,1.992828E+01,2.277575E+05,2.800087E+05,2.055289E+00,0.000000E+00,1.857458E+01,2.062403E+05,2.656999E+05,1.332558E+01,0.000000E+00,2.055289E+00,0.000000E+00,0.000000E+00
08:00:00,1.414029E+01,0.000000E+00,5.532939E+01,6.155686E+05,8.527397E+05,1.414029E+01,0.000000E+00,5.479753E+01,5.740467E+05,9.067989E+05,1.414029E+01,4.131660E+05,1.414029E+01,0.000000E+00,0.000000E+00,2.055289E+00,0.000000E+00,1.609871E+01,1.803281E+05,2.242409E+05,2.055289E+00,0.000000E+00,1.481424E+01,1.606803E+05,2.193867E+05,1.332558E+01,0.000000E+00,2.055289E+00,0.000000E+00,0.000000E+00
09:00:00,1.414029E+01,0.000000E+00,6.182111E+01,7.137036E+05,9.372183E+05,1.414029E+01,0.000000E+00,6.130412E+01,6.723453E+05,1.046282E+06,1.414029E+01,4.131660E+05,1.414029E+01,0.000000E+00,0.000000E+00,2.055289E+00,0.000000E+00,2.176970E+01,2.478991E+05,2.936450E+05,2.055289E+00,0.000000E+00,2.026379E+01,2.257527E+05,2.969613E+05,1.332558E+01,0.000000E+00,2.055289E+00,0.000000E+00,0.000000E+00
10:00:00,1.414029E+01,0.000000E+00,6.099517E+01,7.268502E+05,9.418305E+05,1.414029E+01,0.000000E+00,6.047709E+01,6.854713E+05,1.052527E+06,1.414029E+01,4.131660E+05,1.414029E+01,0.000000E+00,0.000000E+00,2.055289E+00,0.000000E+00,2.266046E+01,2.611997E+05,3.054353E+05,2.055289E+00,0.000000E+00,2.120618E+01,2.396287E+05,3.120933E+05,1.332558E+01,0.000000E+00,2.055289E+00,0.000000E+00,0.000000E+00
