Time,BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s]
01:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.419291E+04,1.684001E+06,3.931565E+00,1.248901E+02,2.092953E+05,1.727172E+05,1.080228E+01,9.849142E+00,0.000000E+00,4.234175E+04,0.000000E+00,2.980513E+00
02:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.419476E+04,7.336610E+05,3.931624E+00,4.215066E+01,2.092969E+05,2.664238E+05,1.080230E+01,1.517313E+01,0.000000E+00,5.178818E+04,0.000000E+00,3.644821E+00
03:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.420339E+04,9.286966E+05,3.932027E+00,5.288823E+01,2.093020E+05,3.601744E+05,1.080256E+01,2.051098E+01,0.000000E+00,5.956720E+04,0.000000E+00,4.192234E+00
04:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.418190E+04,1.031759E+06,3.931023E+00,5.892323E+01,2.092808E+05,4.331071E+05,1.080147E+01,2.473784E+01,4.849202E+04,7.102477E+04,1.950604E+00,4.999423E+00
05:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.419434E+04,1.110713E+06,3.931570E+00,6.343656E+01,2.092882E+05,4.709818E+05,1.080179E+01,2.694307E+01,8.958593E+04,8.146609E+04,3.600223E+00,5.734430E+00
06:00:00,1.612857E+05,0.000000E+00,6.979862E+00,0.000000E+00,8.426096E+04,1.299091E+06,3.934763E+00,7.568374E+01,2.093508E+05,5.534691E+05,1.080519E+01,3.235355E+01,4.475057E+05,0.000000E+00,1.909898E+01,0.000000E+00
07:00:00,3.959497E+05,2.863301E+05,1.848818E+01,2.226413E+01,8.425603E+04,2.151115E+06,3.934549E+00,1.545317E+02,2.093409E+05,1.401436E+06,1.080472E+01,1.140480E+02,7.134231E+05,4.132717E+05,3.346759E+01,3.171148E+01
08:00:00,6.454668E+05,4.327281E+05,3.262346E+01,3.636903E+01,8.424380E+04,2.096202E+06,3.933970E+00,1.551281E+02,2.093244E+05,1.831321E+06,1.080384E+01,1.594096E+02,9.455889E+05,7.050573E+05,4.783396E+01,5.924384E+01
09:00:00,5.247564E+05,3.933519E+05,2.707875E+01,3.435046E+01,8.418071E+04,1.983234E+06,3.931022E+00,1.472107E+02,2.092644E+05,1.711485E+06,1.080074E+01,1.496666E+02,7.889492E+05,6.294092E+05,4.070979E+01,5.495013E+01
10:00:00,4.973504E+05,3.887173E+05,2.566409E+01,3.394990E+01,8.420335E+04,1.923816E+06,3.931992E+00,1.428494E+02,2.092819E+05,1.643241E+06,1.080146E+01,1.437169E+02,7.427466E+05,6.124046E+05,3.832392E+01,5.348293E+01
11:00:00,4.731468E+05,3.863787E+05,2.441498E+01,3.374573E+01,8.420070E+04,1.888455E+06,3.931866E+00,1.402518E+02,2.092821E+05,1.613671E+06,1.080147E+01,1.411707E+02,7.027756E+05,6.028708E+05,3.625981E+01,5.265376E+01
12:00:00,4.592857E+05,3.898261E+05,2.370050E+01,3.404556E+01,8.420719E+04,1.856404E+06,3.932169E+00,1.378844E+02,2.092861E+05,1.589425E+06,1.080167E+01,1.390711E+02,6.761539E+05,5.951180E+05,3.488624E+01,5.197738E+01
13:00:00,4.474465E+05,3.964679E+05,2.308957E+01,3.462578E+01,8.421053E+04,1.833753E+06,3.932325E+00,1.362067E+02,2.092878E+05,1.571556E+06,1.080176E+01,1.375138E+02,6.538495E+05,5.909725E+05,3.373535E+01,5.161629E+01
14:00:00,4.368509E+05,4.021299E+05,2.254268E+01,3.512064E+01,8.421337E+04,1.822098E+06,3.932457E+00,1.353444E+02,2.092891E+05,1.559829E+06,1.080183E+01,1.364896E+02,6.345972E+05,5.897254E+05,3.274194E+01,5.150771E+01
15:00:00,4.272934E+05,4.014197E+05,2.204945E+01,3.505863E+01,8.421595E+04,1.813543E+06,3.932578E+00,1.347123E+02,2.092903E+05,1.547628E+06,1.080189E+01,1.354241E+02,6.176543E+05,5.844870E+05,3.186768E+01,5.105018E+01
16:00:00,4.187324E+05,3.935474E+05,2.160768E+01,3.437082E+01,8.421833E+04,1.805198E+06,3.932689E+00,1.340946E+02,2.092914E+05,1.532310E+06,1.080194E+01,1.340855E+02,6.027275E+05,5.721466E+05,3.109743E+01,4.997222E+01
17:00:00,4.111121E+05,3.811652E+05,2.121445E+01,3.328911E+01,8.422052E+04,1.796880E+06,3.932791E+00,1.334778E+02,2.092923E+05,1.514364E+06,1.080199E+01,1.325161E+02,5.895545E+05,5.557345E+05,3.041767E+01,4.853855E+01
18:00:00,4.043430E+05,3.643517E+05,2.086512E+01,3.182052E+01,8.422254E+04,1.785742E+06,3.932886E+00,1.326510E+02,2.092932E+05,1.492518E+06,1.080203E+01,1.306051E+02,5.778909E+05,5.340227E+05,2.981579E+01,4.664205E+01
19:00:00,3.983328E+05,3.416517E+05,2.055494E+01,2.983792E+01,8.422440E+04,1.767372E+06,3.932972E+00,1.312867E+02,2.092939E+05,1.464312E+06,1.080207E+01,1.281376E+02,5.675395E+05,5.023737E+05,2.928163E+01,4.387765E+01
20:00:00,3.930650E+05,3.155569E+05,2.028308E+01,2.755882E+01,8.422608E+04,1.739075E+06,3.933051E+00,1.291843E+02,2.092946E+05,1.430676E+06,1.080211E+01,1.251948E+02,5.584596E+05,4.656496E+05,2.881308E+01,4.066986E+01
21:00:00,3.883478E+05,2.995021E+05,2.003964E+01,2.615660E+01,8.422764E+04,1.722434E+06,3.933124E+00,1.279475E+02,2.092952E+05,1.409074E+06,1.080214E+01,1.233055E+02,5.502959E+05,4.417145E+05,2.839181E+01,3.857914E+01
22:00:00,3.841299E+05,2.886650E+05,1.982196E+01,2.521041E+01,8.422909E+04,1.711610E+06,3.933191E+00,1.271455E+02,2.092958E+05,1.393751E+06,1.080217E+01,1.219683E+02,5.429677E+05,4.232787E+05,2.801365E+01,3.696923E+01
23:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.431091E+04,1.699779E+06,3.937125E+00,1.261781E+02,2.093762E+05,1.378650E+06,1.080658E+01,1.205621E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
24:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.427886E+04,1.694302E+06,3.935612E+00,1.257804E+02,2.093370E+05,1.368664E+06,1.080451E+01,1.196970E+02,0.000000E+00,2.190064E+04,0.000000E+00,1.566815E+00
Peak,6.454668E+05,4.327281E+05,3.262346E+01,3.636903E+01,8.431091E+04,2.151115E+06,3.937125E+00,1.545317E+02,2.093762E+05,1.831321E+06,1.080658E+01,1.594096E+02,9.455889E+05,7.050573E+05,4.783396E+01,5.924384E+01

Peak Vol Flow (m3/s),,,2.779006E+01,3.098070E+01,,,3.353812E+00,1.316367E+02,,,9.205506E+00,1.357919E+02,,,4.074702E+01,5.046645E+01
