Time,BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 7 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 7 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 7 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 7 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 8 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 8 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 8 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 8 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s]
01:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.281344E+05,0.000000E+00,6.651760E+00,0.000000E+00,4.091878E+05,1.151250E+05,2.111281E+01,6.558869E+00,1.135944E+05,2.721009E+05,3.855721E+00,3.695422E+01,1.104280E+05,1.305720E+06,5.156474E+00,9.682274E+01,4.790448E+05,1.111398E+06,2.471513E+01,9.708449E+01,8.753614E+04,2.617584E+05,2.971380E+00,3.554906E+01,1.195771E+05,0.000000E+00,4.797447E+00,0.000000E+00
02:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.096262E+05,1.878930E+05,2.113627E+01,1.069567E+01,1.137207E+05,2.698085E+05,3.860040E+00,3.664324E+01,1.105145E+05,5.009668E+05,5.160563E+00,2.879612E+01,4.795924E+05,1.104770E+06,2.474459E+01,9.651860E+01,8.755284E+04,2.592293E+05,2.971952E+00,3.520578E+01,1.495998E+05,0.000000E+00,6.001539E+00,0.000000E+00
03:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.093957E+05,2.702988E+05,2.112436E+01,1.540044E+01,1.136856E+05,2.678134E+05,3.858847E+00,3.637335E+01,1.104700E+05,6.221497E+05,5.158480E+00,3.559367E+01,4.792964E+05,1.100887E+06,2.472930E+01,9.620766E+01,8.754412E+04,2.569626E+05,2.971655E+00,3.489853E+01,1.715983E+05,0.000000E+00,6.883800E+00,0.000000E+00
04:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.092625E+05,3.112546E+05,2.111665E+01,1.775927E+01,1.136701E+05,2.658268E+05,3.858292E+00,3.610483E+01,1.104398E+05,7.755981E+05,5.157025E+00,4.425562E+01,4.791253E+05,1.095146E+06,2.471926E+01,9.574583E+01,8.753814E+04,2.547961E+05,2.971448E+00,3.460502E+01,1.915355E+05,0.000000E+00,7.683256E+00,0.000000E+00
05:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.093151E+05,3.344302E+05,2.111829E+01,1.909617E+01,1.136996E+05,2.640895E+05,3.859245E+00,3.586902E+01,1.104479E+05,8.180030E+05,5.157328E+00,4.666366E+01,4.791869E+05,1.090809E+06,2.472089E+01,9.537501E+01,8.753964E+04,2.528495E+05,2.971493E+00,3.434073E+01,2.095092E+05,0.000000E+00,8.403626E+00,0.000000E+00
06:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.221266E+03,0.000000E+00,2.488353E-01,4.093453E+05,4.101918E+05,2.111971E+01,2.413934E+01,1.137213E+05,2.702870E+05,3.859977E+00,3.670806E+01,1.104508E+05,9.641610E+05,5.157462E+00,5.673900E+01,4.792214E+05,1.161542E+05,2.472245E+01,6.862837E+00,8.754012E+04,2.584012E+05,2.971509E+00,3.509323E+01,2.257912E+05,0.000000E+00,9.056466E+00,0.000000E+00
07:00:00,5.183508E+04,2.022030E+05,2.453431E+00,1.581546E+01,0.000000E+00,3.377652E+04,0.000000E+00,1.986545E+00,4.095316E+05,9.990228E+05,2.112985E+01,8.074563E+01,1.137864E+05,2.854937E+05,3.862211E+00,3.877356E+01,1.104900E+05,1.679028E+06,5.159328E+00,1.205561E+02,4.794521E+05,1.262720E+06,2.473510E+01,1.034920E+02,8.754762E+04,2.725856E+05,2.971767E+00,3.701974E+01,2.407124E+05,9.119134E+03,9.655023E+00,5.363805E-01
08:00:00,1.509151E+05,2.944043E+05,7.558601E+00,2.472463E+01,0.000000E+00,6.158432E+04,0.000000E+00,3.622421E+00,4.098158E+05,1.496204E+06,2.114686E+01,1.302962E+02,1.138721E+05,3.002063E+05,3.865212E+00,4.077315E+01,1.105465E+05,1.627016E+06,5.162106E+00,1.203965E+02,4.798077E+05,1.272848E+06,2.475686E+01,1.107246E+02,8.755857E+04,2.860843E+05,2.972150E+00,3.885379E+01,2.543202E+05,4.511098E+04,1.020193E+01,2.654182E+00
09:00:00,1.721241E+05,2.725160E+05,8.882142E+00,2.377971E+01,0.000000E+00,3.299474E+05,0.000000E+00,2.201431E+01,4.099097E+05,1.383388E+06,2.115319E+01,1.209401E+02,1.139096E+05,3.100643E+05,3.866535E+00,4.211142E+01,1.105634E+05,1.520492E+06,5.162974E+00,1.127896E+02,4.799243E+05,1.202619E+06,2.476505E+01,1.050786E+02,8.756182E+04,2.951507E+05,2.972267E+00,4.008477E+01,6.472165E+05,2.853374E+05,2.847773E+01,1.894124E+01
10:00:00,1.482275E+05,2.581472E+05,7.650395E+00,2.254029E+01,2.409755E+05,8.991210E+05,1.209228E+01,7.564402E+01,4.098443E+05,1.386016E+06,2.114997E+01,1.211603E+02,1.139123E+05,3.146517E+05,3.866633E+00,4.273417E+01,1.105518E+05,1.505465E+06,5.162435E+00,1.116800E+02,4.798389E+05,1.224909E+06,2.476088E+01,1.070365E+02,8.755946E+04,2.994097E+05,2.972187E+00,4.066303E+01,1.087833E+06,1.031883E+06,5.493312E+01,8.694217E+01
