Time,BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s]
01:00:00,1.012739E+04,8.677729E+04,3.203346E-01,6.437028E+00,1.726343E+04,2.344078E+04,5.836918E-01,1.339432E+00,2.232934E+04,2.231726E+04,7.549624E-01,1.274190E+00
02:00:00,1.012753E+04,4.480764E+04,3.203389E-01,2.574963E+00,1.726374E+04,2.034607E+04,5.837024E-01,1.159556E+00,2.232934E+04,2.444741E+04,7.549625E-01,1.393720E+00
03:00:00,1.012766E+04,5.270089E+04,3.203430E-01,3.001864E+00,1.726404E+04,2.230025E+04,5.837125E-01,1.270420E+00,2.232935E+04,2.605632E+04,7.549626E-01,1.484542E+00
04:00:00,1.012778E+04,5.272329E+04,3.203468E-01,3.011918E+00,1.726432E+04,2.487946E+04,5.837219E-01,1.422433E+00,2.232935E+04,2.823984E+04,7.549627E-01,1.616983E+00
05:00:00,1.012789E+04,5.516854E+04,3.203503E-01,3.152311E+00,1.726458E+04,2.603282E+04,5.837309E-01,1.491080E+00,2.232935E+04,2.959445E+04,7.549627E-01,1.699509E+00
06:00:00,1.012800E+04,7.536357E+04,3.203537E-01,4.761890E+00,1.726483E+04,4.421983E+04,5.837393E-01,3.083780E+00,2.232935E+04,5.610377E+04,7.549628E-01,3.936563E+00
07:00:00,1.012810E+04,1.008734E+05,3.203568E-01,7.175097E+00,1.726507E+04,9.017191E+04,5.837473E-01,7.491644E+00,2.232935E+04,9.650228E+04,7.549628E-01,8.011227E+00
08:00:00,1.012819E+04,9.816403E+04,3.203598E-01,7.287641E+00,1.726529E+04,9.048333E+04,5.837549E-01,7.913118E+00,2.232935E+04,9.265911E+04,7.549629E-01,8.102372E+00
09:00:00,1.012828E+04,9.817501E+04,3.203625E-01,7.294730E+00,1.726550E+04,8.986157E+04,5.837620E-01,7.866904E+00,2.232936E+04,9.283472E+04,7.549629E-01,8.125815E+00
10:00:00,1.012836E+04,9.810852E+04,3.203651E-01,7.291486E+00,1.726570E+04,8.954047E+04,5.837687E-01,7.837696E+00,2.232936E+04,9.315291E+04,7.549630E-01,8.154206E+00
11:00:00,1.012843E+04,9.783797E+04,3.203675E-01,7.272282E+00,1.726589E+04,8.903272E+04,5.837751E-01,7.794340E+00,2.232936E+04,9.283820E+04,7.549630E-01,8.127748E+00
12:00:00,1.012851E+04,9.702656E+04,3.203698E-01,7.212442E+00,1.726607E+04,8.802250E+04,5.837811E-01,7.707019E+00,2.232936E+04,9.187226E+04,7.549630E-01,8.043921E+00
13:00:00,1.012857E+04,9.655435E+04,3.203719E-01,7.177390E+00,1.726624E+04,8.734129E+04,5.837868E-01,7.647447E+00,2.232936E+04,9.130091E+04,7.549631E-01,7.993869E+00
14:00:00,1.012864E+04,9.643864E+04,3.203739E-01,7.168841E+00,1.726640E+04,8.698963E+04,5.837922E-01,7.616622E+00,2.232936E+04,9.113644E+04,7.549631E-01,7.979459E+00
15:00:00,1.012870E+04,9.617007E+04,3.203758E-01,7.148990E+00,1.726655E+04,8.648934E+04,5.837973E-01,7.572935E+00,2.232936E+04,9.078427E+04,7.549631E-01,7.948748E+00
16:00:00,1.012875E+04,9.580636E+04,3.203776E-01,7.121996E+00,1.726669E+04,8.695445E+04,5.838021E-01,7.613743E+00,2.232936E+04,9.025539E+04,7.549631E-01,7.902503E+00
17:00:00,1.012880E+04,9.652190E+04,3.203792E-01,7.175192E+00,1.726682E+04,8.696510E+04,5.838066E-01,7.614875E+00,2.232936E+04,9.001491E+04,7.549632E-01,7.881456E+00
18:00:00,1.012885E+04,9.627381E+04,3.203808E-01,7.156912E+00,1.726695E+04,8.638656E+04,5.838109E-01,7.564217E+00,2.232936E+04,8.928807E+04,7.549632E-01,7.817876E+00
19:00:00,1.012890E+04,9.526856E+04,3.203822E-01,7.082103E+00,1.726707E+04,8.555551E+04,5.838150E-01,7.491355E+00,2.232936E+04,8.793133E+04,7.549632E-01,7.699061E+00
20:00:00,1.012894E+04,9.182104E+04,3.203836E-01,6.825676E+00,1.726718E+04,8.330619E+04,5.838188E-01,7.294355E+00,2.232936E+04,8.358620E+04,7.549632E-01,7.318550E+00
21:00:00,1.012898E+04,8.989291E+04,3.203848E-01,6.681998E+00,1.726729E+04,8.169617E+04,5.838224E-01,7.153226E+00,2.232936E+04,8.113245E+04,7.549632E-01,7.103342E+00
22:00:00,1.012902E+04,8.896161E+04,3.203860E-01,6.612959E+00,1.726739E+04,8.076629E+04,5.838259E-01,7.071943E+00,2.232937E+04,7.985646E+04,7.549633E-01,6.991925E+00
23:00:00,1.012905E+04,8.826738E+04,3.203872E-01,6.561690E+00,1.726749E+04,8.001497E+04,5.838291E-01,7.006418E+00,2.232937E+04,7.883034E+04,7.549633E-01,6.902543E+00
24:00:00,1.012909E+04,8.765573E+04,3.203882E-01,6.516435E+00,1.726758E+04,7.932468E+04,5.838322E-01,6.946172E+00,2.232937E+04,7.790586E+04,7.549633E-01,6.821910E+00
Peak,1.012909E+04,1.008734E+05,3.203882E-01,7.175097E+00,1.726758E+04,9.048333E+04,5.838322E-01,7.913118E+00,2.232937E+04,9.650228E+04,7.549633E-01,8.011227E+00

Peak Vol Flow (m3/s),,,2.729204E-01,6.112055E+00,,,4.973333E-01,6.740734E+00,,,6.431101E-01,6.824307E+00
