Time,1 ZONE PVAV:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE PVAV:DesPer 1:Des Heat Cap [W],1 ZONE PVAV:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE PVAV:DesPer 1:Des Sens Cool Cap [W],1 ZONE PVAV:DesPer 1:Des Tot Cool Cap [W],1 ZONE PVAV:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE PVAV:DesPer 2:Des Heat Cap [W],1 ZONE PVAV:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE PVAV:DesPer 2:Des Sens Cool Cap [W],1 ZONE PVAV:DesPer 2:Des Tot Cool Cap [W],1 ZONE PVAV:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE PVAV:DesPer 3:Des Heat Cap [W],1 ZONE PVAV:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE PVAV:DesPer 3:Des Sens Cool Cap [W],1 ZONE PVAV:DesPer 3:Des Tot Cool Cap [W],1 ZONE PVAV 1:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE PVAV 1:DesPer 1:Des Heat Cap [W],1 ZONE PVAV 1:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE PVAV 1:DesPer 1:Des Sens Cool Cap [W],1 ZONE PVAV 1:DesPer 1:Des Tot Cool Cap [W],1 ZONE PVAV 1:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE PVAV 1:DesPer 2:Des Heat Cap [W],1 ZONE PVAV 1:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE PVAV 1:DesPer 2:Des Sens Cool Cap [W],1 ZONE PVAV 1:DesPer 2:Des Tot Cool Cap [W],1 ZONE PVAV 1:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE PVAV 1:DesPer 3:Des Heat Cap [W],1 ZONE PVAV 1:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE PVAV 1:DesPer 3:Des Sens Cool Cap [W],1 ZONE PVAV 1:DesPer 3:Des Tot Cool Cap [W],1 ZONE PVAV 2:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE PVAV 2:DesPer 1:Des Heat Cap [W],1 ZONE PVAV 2:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE PVAV 2:DesPer 1:Des Sens Cool Cap [W],1 ZONE PVAV 2:DesPer 1:Des Tot Cool Cap [W],1 ZONE PVAV 2:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE PVAV 2:DesPer 2:Des Heat Cap [W],1 ZONE PVAV 2:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE PVAV 2:DesPer 2:Des Sens Cool Cap [W],1 ZONE PVAV 2:DesPer 2:Des Tot Cool Cap [W],1 ZONE PVAV 2:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE PVAV 2:DesPer 3:Des Heat Cap [W],1 ZONE PVAV 2:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE PVAV 2:DesPer 3:Des Sens Cool Cap [W],1 ZONE PVAV 2:DesPer 3:Des Tot Cool Cap [W]
01:00:00,5.769547E+00,0.000000E+00,2.777881E+01,3.018669E+05,4.511328E+05,5.769547E+00,0.000000E+00,2.761306E+01,2.855005E+05,4.551276E+05,5.769547E+00,1.685807E+05,5.769547E+00,0.000000E+00,0.000000E+00,4.738117E+00,0.000000E+00,1.216793E+01,1.281422E+05,2.207280E+05,4.738117E+00,0.000000E+00,1.197250E+01,1.140346E+05,2.232265E+05,4.738117E+00,1.384433E+05,4.738117E+00,0.000000E+00,0.000000E+00,6.162163E+00,0.000000E+00,1.895482E+01,2.017828E+05,3.453880E+05,6.162163E+00,0.000000E+00,1.873592E+01,1.838310E+05,3.492137E+05,6.162163E+00,1.800526E+05,6.162163E+00,0.000000E+00,0.000000E+00
02:00:00,5.769547E+00,0.000000E+00,2.772301E+01,2.990811E+05,4.482954E+05,5.769547E+00,0.000000E+00,2.755710E+01,2.827139E+05,4.470719E+05,5.769547E+00,1.685807E+05,5.769547E+00,0.000000E+00,0.000000E+00,4.738117E+00,0.000000E+00,1.208560E+01,1.254434E+05,2.178807E+05,4.738117E+00,0.000000E+00,1.188923E+01,1.113261E+05,2.160289E+05,4.738117E+00,1.384433E+05,4.738117E+00,0.000000E+00,0.000000E+00,6.162163E+00,0.000000E+00,1.886809E+01,1.985023E+05,3.419642E+05,6.162163E+00,0.000000E+00,1.865057E+01,1.805673E+05,3.401510E+05,6.162163E+00,1.800526E+05,6.162163E+00,0.000000E+00,0.000000E+00
03:00:00,5.769547E+00,0.000000E+00,2.767441E+01,2.969157E+05,4.460803E+05,5.769547E+00,0.000000E+00,2.750830E+01,2.805474E+05,4.410222E+05,5.769547E+00,1.685807E+05,5.769547E+00,0.000000E+00,0.000000E+00,4.738117E+00,0.000000E+00,1.201241E+01,1.232904E+05,2.155984E+05,4.738117E+00,0.000000E+00,1.181516E+01,1.091639E+05,2.105499E+05,4.738117E+00,1.384433E+05,4.738117E+00,0.000000E+00,0.000000E+00,6.162163E+00,0.000000E+00,1.879184E+01,1.959157E+05,3.392464E+05,6.162163E+00,0.000000E+00,1.857450E+01,1.779835E+05,3.332757E+05,6.162163E+00,1.800526E+05,6.162163E+00,0.000000E+00,0.000000E+00
04:00:00,5.769547E+00,0.000000E+00,2.762904E+01,2.947868E+05,4.438890E+05,5.769547E+00,0.000000E+00,2.746274E+01,2.784172E+05,4.350885E+05,5.769547E+00,1.685807E+05,5.769547E+00,0.000000E+00,0.000000E+00,4.738117E+00,0.000000E+00,1.194413E+01,1.211926E+05,2.133560E+05,4.738117E+00,0.000000E+00,1.174566E+01,1.070529E+05,2.051933E+05,4.738117E+00,1.384433E+05,4.738117E+00,0.000000E+00,0.000000E+00,6.162163E+00,0.000000E+00,1.872075E+01,1.933873E+05,3.365664E+05,6.162163E+00,0.000000E+00,1.850335E+01,1.754557E+05,3.265553E+05,6.162163E+00,1.800526E+05,6.162163E+00,0.000000E+00,0.000000E+00
05:00:00,5.769547E+00,0.000000E+00,2.758998E+01,2.932683E+05,4.423319E+05,5.769547E+00,0.000000E+00,2.742351E+01,2.768974E+05,4.310473E+05,5.769547E+00,1.685807E+05,5.769547E+00,0.000000E+00,0.000000E+00,4.738117E+00,0.000000E+00,1.188389E+01,1.196281E+05,2.116737E+05,4.738117E+00,0.000000E+00,1.168422E+01,1.054755E+05,2.014366E+05,4.738117E+00,1.384433E+05,4.738117E+00,0.000000E+00,0.000000E+00,6.162163E+00,0.000000E+00,1.865878E+01,1.915374E+05,3.346040E+05,6.162163E+00,0.000000E+00,1.844101E+01,1.736029E+05,3.218984E+05,6.162163E+00,1.800526E+05,6.162163E+00,0.000000E+00,0.000000E+00
06:00:00,5.769547E+00,0.000000E+00,2.786038E+01,2.973897E+05,4.475392E+05,5.769547E+00,0.000000E+00,2.769053E+01,2.809812E+05,4.385696E+05,5.769547E+00,1.685807E+05,5.769547E+00,0.000000E+00,0.000000E+00,4.738117E+00,0.000000E+00,1.209642E+01,1.229069E+05,2.161238E+05,4.738117E+00,0.000000E+00,1.189463E+01,1.087309E+05,2.077961E+05,4.738117E+00,1.384433E+05,4.738117E+00,0.000000E+00,0.000000E+00,6.162163E+00,0.000000E+00,1.887556E+01,1.951279E+05,3.395903E+05,6.162163E+00,0.000000E+00,1.865031E+01,1.771100E+05,3.292669E+05,6.162163E+00,1.800526E+05,6.162163E+00,0.000000E+00,0.000000E+00
07:00:00,5.769547E+00,0.000000E+00,2.840639E+01,3.073065E+05,4.588741E+05,5.769547E+00,0.000000E+00,2.823372E+01,2.908668E+05,4.585586E+05,5.769547E+00,1.685807E+05,5.769547E+00,0.000000E+00,0.000000E+00,4.738117E+00,0.000000E+00,1.257767E+01,1.314250E+05,2.265921E+05,4.738117E+00,0.000000E+00,1.236795E+01,1.171593E+05,2.253017E+05,4.738117E+00,1.384433E+05,4.738117E+00,0.000000E+00,0.000000E+00,6.162163E+00,0.000000E+00,1.937117E+01,2.047331E+05,3.513828E+05,6.162163E+00,0.000000E+00,1.914011E+01,1.866499E+05,3.502909E+05,6.162163E+00,1.800526E+05,6.162163E+00,0.000000E+00,0.000000E+00
08:00:00,5.769547E+00,0.000000E+00,2.892047E+01,3.222558E+05,4.744008E+05,5.769547E+00,0.000000E+00,2.874636E+01,3.057999E+05,4.966314E+05,5.769547E+00,1.685807E+05,5.769547E+00,0.000000E+00,0.000000E+00,4.738117E+00,0.000000E+00,1.305408E+01,1.443159E+05,2.406537E+05,4.738117E+00,0.000000E+00,1.284090E+01,1.300110E+05,2.579100E+05,4.738117E+00,1.384433E+05,4.738117E+00,0.000000E+00,0.000000E+00,6.162163E+00,0.000000E+00,1.987490E+01,2.201878E+05,3.680991E+05,6.162163E+00,0.000000E+00,1.964130E+01,2.020762E+05,3.911819E+05,6.162163E+00,1.800526E+05,6.162163E+00,0.000000E+00,0.000000E+00
09:00:00,5.769547E+00,0.000000E+00,2.925936E+01,3.363158E+05,4.883862E+05,5.769547E+00,0.000000E+00,2.908518E+01,3.198587E+05,5.326363E+05,5.769547E+00,1.685807E+05,5.769547E+00,0.000000E+00,0.000000E+00,4.738117E+00,0.000000E+00,1.339414E+01,1.565589E+05,2.531532E+05,4.738117E+00,0.000000E+00,1.318005E+01,1.422434E+05,2.886100E+05,4.738117E+00,1.384433E+05,4.738117E+00,0.000000E+00,0.000000E+00,6.162163E+00,0.000000E+00,2.024196E+01,2.352603E+05,3.834369E+05,6.162163E+00,0.000000E+00,2.000787E+01,2.171425E+05,4.302721E+05,6.162163E+00,1.800526E+05,6.162163E+00,0.000000E+00,0.000000E+00
10:00:00,5.769547E+00,0.000000E+00,2.940618E+01,3.471386E+05,4.989300E+05,5.769547E+00,0.000000E+00,2.923151E+01,3.306742E+05,5.436371E+05,5.769547E+00,1.685807E+05,5.769547E+00,0.000000E+00,0.000000E+00,4.738117E+00,0.000000E+00,1.357247E+01,1.660968E+05,2.625373E+05,4.738117E+00,0.000000E+00,1.335756E+01,1.517709E+05,2.985392E+05,4.738117E+00,1.384433E+05,4.738117E+00,0.000000E+00,0.000000E+00,6.162163E+00,0.000000E+00,2.044031E+01,2.472857E+05,3.952874E+05,6.162163E+00,0.000000E+00,2.020593E+01,2.291624E+05,4.428957E+05,6.162163E+00,1.800526E+05,6.162163E+00,0.000000E+00,0.000000E+00
