Time,BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 10 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 10 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 10 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 10 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 7 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 7 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 7 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 7 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 8 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 8 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 8 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 8 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 9 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 9 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 9 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 9 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s]
01:00:00,2.723325E+04,2.761551E+05,9.208559E-01,2.415549E+01,6.292143E+04,5.238674E+04,2.135438E+00,7.116129E+00,3.184363E+04,1.210430E+05,1.076721E+00,1.058081E+01,3.351793E+04,5.373351E+04,1.137630E+00,7.298536E+00,3.459380E+04,1.883951E+05,1.169679E+00,1.648246E+01,3.554633E+04,5.354172E+04,1.206450E+00,7.272611E+00,3.636433E+04,5.363006E+04,1.234203E+00,7.284657E+00,3.723597E+04,5.351915E+04,1.263778E+00,7.269621E+00,1.148879E+05,5.537248E+04,3.897443E+00,7.524220E+00,3.837790E+04,5.157328E+04,1.302519E+00,7.005403E+00
02:00:00,2.723327E+04,2.755993E+05,9.208565E-01,2.410697E+01,6.292519E+04,5.148689E+04,2.135566E+00,6.993903E+00,3.184373E+04,1.202234E+05,1.076724E+00,1.050921E+01,3.351801E+04,5.290993E+04,1.137633E+00,7.186675E+00,3.459383E+04,1.875318E+05,1.169680E+00,1.640704E+01,3.555078E+04,5.287599E+04,1.206601E+00,7.182191E+00,3.636918E+04,5.296594E+04,1.234368E+00,7.194454E+00,3.723600E+04,5.265141E+04,1.263779E+00,7.151762E+00,1.148917E+05,5.383463E+04,3.897571E+00,7.315257E+00,3.838233E+04,5.102168E+04,1.302669E+00,6.930483E+00
03:00:00,2.723328E+04,2.751152E+05,9.208571E-01,2.406471E+01,6.292880E+04,5.071094E+04,2.135688E+00,6.888512E+00,3.184382E+04,1.194948E+05,1.076727E+00,1.044558E+01,3.351810E+04,5.217758E+04,1.137636E+00,7.087209E+00,3.459387E+04,1.867726E+05,1.169681E+00,1.634073E+01,3.555506E+04,5.228531E+04,1.206746E+00,7.101966E+00,3.637386E+04,5.237729E+04,1.234527E+00,7.114504E+00,3.723603E+04,5.188483E+04,1.263780E+00,7.047645E+00,1.148953E+05,5.255739E+04,3.897694E+00,7.141725E+00,3.838660E+04,5.053914E+04,1.302814E+00,6.864944E+00
04:00:00,2.723330E+04,2.746634E+05,9.208576E-01,2.402525E+01,6.293227E+04,4.997733E+04,2.135806E+00,6.788870E+00,3.184390E+04,1.188150E+05,1.076730E+00,1.038620E+01,3.351818E+04,5.148940E+04,1.137638E+00,6.993742E+00,3.459390E+04,1.860650E+05,1.169682E+00,1.627892E+01,3.555919E+04,5.172167E+04,1.206886E+00,7.025412E+00,3.637838E+04,5.181388E+04,1.234680E+00,7.037983E+00,3.723606E+04,5.116564E+04,1.263781E+00,6.949964E+00,1.148988E+05,5.133356E+04,3.897812E+00,6.975449E+00,3.839072E+04,5.007242E+04,1.302954E+00,6.801554E+00
05:00:00,2.723331E+04,2.742745E+05,9.208582E-01,2.399129E+01,6.293560E+04,4.934625E+04,2.135919E+00,6.703154E+00,3.184398E+04,1.182151E+05,1.076733E+00,1.033382E+01,3.351825E+04,5.088243E+04,1.137641E+00,6.911305E+00,3.459392E+04,1.854481E+05,1.169683E+00,1.622502E+01,3.556317E+04,5.122806E+04,1.207022E+00,6.958371E+00,3.638273E+04,5.132174E+04,1.234828E+00,6.971139E+00,3.723608E+04,5.053869E+04,1.263782E+00,6.864812E+00,1.149022E+05,5.034906E+04,3.897926E+00,6.841679E+00,3.839468E+04,4.967128E+04,1.303088E+00,6.747071E+00
06:00:00,2.723333E+04,2.769621E+05,9.208587E-01,2.422641E+01,6.293881E+04,5.101304E+04,2.136028E+00,6.929579E+00,3.184406E+04,1.203287E+05,1.076735E+00,1.051862E+01,3.351832E+04,5.284765E+04,1.137643E+00,7.178245E+00,3.459395E+04,1.876018E+05,1.169684E+00,1.641353E+01,3.556701E+04,5.320847E+04,1.207152E+00,7.227378E+00,3.638693E+04,5.337585E+04,1.234970E+00,7.250159E+00,3.723611E+04,5.239175E+04,1.263782E+00,7.116525E+00,1.149054E+05,5.261472E+04,3.898035E+00,7.149563E+00,3.839851E+04,5.130135E+04,1.303218E+00,6.968496E+00
07:00:00,2.723334E+04,2.823867E+05,9.208591E-01,2.470121E+01,6.294189E+04,5.433686E+04,2.136133E+00,7.381152E+00,3.184413E+04,1.251136E+05,1.076737E+00,1.093711E+01,3.351838E+04,5.737268E+04,1.137645E+00,7.792928E+00,3.459398E+04,1.925237E+05,1.169685E+00,1.684450E+01,3.557071E+04,5.777830E+04,1.207277E+00,7.848160E+00,3.639098E+04,5.797826E+04,1.235108E+00,7.875374E+00,3.723613E+04,5.684321E+04,1.263783E+00,7.721241E+00,1.149085E+05,5.880292E+04,3.898140E+00,7.990680E+00,3.840220E+04,5.390507E+04,1.303343E+00,7.322220E+00
08:00:00,2.723336E+04,2.874940E+05,9.208596E-01,2.514824E+01,6.294485E+04,5.898370E+04,2.136233E+00,8.012460E+00,3.184419E+04,1.298497E+05,1.076740E+00,1.135138E+01,3.351844E+04,6.195481E+04,1.137648E+00,8.415394E+00,3.459400E+04,1.975258E+05,1.169686E+00,1.728252E+01,3.557427E+04,6.252548E+04,1.207398E+00,8.493062E+00,3.639489E+04,6.265579E+04,1.235240E+00,8.510822E+00,3.723615E+04,6.156512E+04,1.263784E+00,8.362725E+00,1.149114E+05,6.734948E+04,3.898241E+00,9.152495E+00,3.840575E+04,5.700056E+04,1.303464E+00,7.742741E+00
09:00:00,2.723337E+04,2.908644E+05,9.208600E-01,2.544292E+01,6.294769E+04,6.300060E+04,2.136330E+00,8.558172E+00,3.184426E+04,1.332327E+05,1.076742E+00,1.164708E+01,3.351850E+04,6.529073E+04,1.137649E+00,8.868527E+00,3.459402E+04,2.011747E+05,1.169686E+00,1.760170E+01,3.557771E+04,6.595901E+04,1.207515E+00,8.959464E+00,3.639865E+04,6.598705E+04,1.235368E+00,8.963334E+00,3.723617E+04,6.512428E+04,1.263784E+00,8.846205E+00,1.149143E+05,7.538708E+04,3.898338E+00,1.024509E+01,3.840918E+04,5.893745E+04,1.303580E+00,8.005854E+00
10:00:00,2.723338E+04,2.923287E+05,9.208604E-01,2.557059E+01,6.295042E+04,6.645422E+04,2.136422E+00,9.027286E+00,3.184431E+04,1.350095E+05,1.076744E+00,1.180215E+01,3.351855E+04,6.709476E+04,1.137651E+00,9.113518E+00,3.459404E+04,2.031508E+05,1.169687E+00,1.777418E+01,3.558103E+04,6.772742E+04,1.207628E+00,9.199616E+00,3.640229E+04,6.767476E+04,1.235491E+00,9.192522E+00,3.723619E+04,6.715112E+04,1.263785E+00,9.121466E+00,1.149170E+05,8.159430E+04,3.898431E+00,1.108862E+01,3.841248E+04,6.022230E+04,1.303692E+00,8.180342E+00
