Time,BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 1:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 1:Des Heat Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 1:Des Cool Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 1:Des Sens Cool Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 1:Des Tot Cool Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 2:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 2:Des Heat Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 2:Des Cool Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 2:Des Sens Cool Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 2:Des Tot Cool Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 3:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 3:Des Heat Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 3:Des Cool Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 3:Des Sens Cool Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 3:Des Tot Cool Cap [W],BUILDING STORY 2 THERMALZONE PSZ-AC:DesPer 1:Des Heat Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE PSZ-AC:DesPer 1:Des Heat Cap [W],BUILDING STORY 2 THERMALZONE PSZ-AC:DesPer 1:Des Cool Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE PSZ-AC:DesPer 1:Des Sens Cool Cap [W],BUILDING STORY 2 THERMALZONE PSZ-AC:DesPer 1:Des Tot Cool Cap [W],BUILDING STORY 2 THERMALZONE PSZ-AC:DesPer 2:Des Heat Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE PSZ-AC:DesPer 2:Des Heat Cap [W],BUILDING STORY 2 THERMALZONE PSZ-AC:DesPer 2:Des Cool Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE PSZ-AC:DesPer 2:Des Sens Cool Cap [W],BUILDING STORY 2 THERMALZONE PSZ-AC:DesPer 2:Des Tot Cool Cap [W],BUILDING STORY 2 THERMALZONE PSZ-AC:DesPer 3:Des Heat Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE PSZ-AC:DesPer 3:Des Heat Cap [W],BUILDING STORY 2 THERMALZONE PSZ-AC:DesPer 3:Des Cool Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE PSZ-AC:DesPer 3:Des Sens Cool Cap [W],BUILDING STORY 2 THERMALZONE PSZ-AC:DesPer 3:Des Tot Cool Cap [W],BUILDING STORY 3 THERMALZONE PSZ-AC:DesPer 1:Des Heat Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE PSZ-AC:DesPer 1:Des Heat Cap [W],BUILDING STORY 3 THERMALZONE PSZ-AC:DesPer 1:Des Cool Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE PSZ-AC:DesPer 1:Des Sens Cool Cap [W],BUILDING STORY 3 THERMALZONE PSZ-AC:DesPer 1:Des Tot Cool Cap [W],BUILDING STORY 3 THERMALZONE PSZ-AC:DesPer 2:Des Heat Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE PSZ-AC:DesPer 2:Des Heat Cap [W],BUILDING STORY 3 THERMALZONE PSZ-AC:DesPer 2:Des Cool Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE PSZ-AC:DesPer 2:Des Sens Cool Cap [W],BUILDING STORY 3 THERMALZONE PSZ-AC:DesPer 2:Des Tot Cool Cap [W],BUILDING STORY 3 THERMALZONE PSZ-AC:DesPer 3:Des Heat Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE PSZ-AC:DesPer 3:Des Heat Cap [W],BUILDING STORY 3 THERMALZONE PSZ-AC:DesPer 3:Des Cool Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE PSZ-AC:DesPer 3:Des Sens Cool Cap [W],BUILDING STORY 3 THERMALZONE PSZ-AC:DesPer 3:Des Tot Cool Cap [W]
01:00:00,1.786267E+00,5.005026E+04,6.923976E+00,8.495111E+04,1.517408E+05,1.786267E+00,5.453763E+04,6.781861E+00,7.857587E+04,1.519771E+05,1.786267E+00,1.190049E+05,1.786267E+00,0.000000E+00,0.000000E+00,4.115015E+00,1.153006E+05,4.115015E+00,3.861363E+04,8.990703E+04,4.115015E+00,1.256381E+05,4.115015E+00,2.827611E+04,9.368582E+04,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00,4.115015E+00,1.153006E+05,4.115015E+00,3.861363E+04,8.990703E+04,4.115015E+00,1.256381E+05,4.115015E+00,2.827611E+04,9.368582E+04,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00
02:00:00,1.786267E+00,5.071798E+04,2.648598E+00,3.058619E+04,6.654871E+04,1.786267E+00,5.520535E+04,2.557307E+00,2.456083E+04,6.409768E+04,1.786267E+00,1.190049E+05,1.786267E+00,0.000000E+00,0.000000E+00,4.115015E+00,1.168388E+05,4.115015E+00,3.707540E+04,8.833082E+04,4.115015E+00,1.271763E+05,4.115015E+00,2.673788E+04,8.850846E+04,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00,4.115015E+00,1.168388E+05,4.115015E+00,3.707540E+04,8.833082E+04,4.115015E+00,1.271763E+05,4.115015E+00,2.673788E+04,8.850846E+04,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00
03:00:00,1.786267E+00,5.121877E+04,3.423044E+00,4.388528E+04,9.778702E+04,1.786267E+00,5.570614E+04,3.323386E+00,3.767503E+04,9.428558E+04,1.786267E+00,1.190049E+05,1.786267E+00,0.000000E+00,0.000000E+00,4.115015E+00,1.179925E+05,4.115015E+00,3.592174E+04,8.714873E+04,4.115015E+00,1.283300E+05,4.115015E+00,2.558422E+04,8.467671E+04,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00,4.115015E+00,1.179925E+05,4.115015E+00,3.592174E+04,8.714873E+04,4.115015E+00,1.283300E+05,4.115015E+00,2.558422E+04,8.467671E+04,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00
04:00:00,1.786267E+00,5.171956E+04,3.581530E+00,4.602650E+04,1.028850E+05,1.786267E+00,5.620693E+04,3.475119E+00,3.970325E+04,9.803235E+04,1.786267E+00,1.190049E+05,1.786267E+00,0.000000E+00,0.000000E+00,4.115015E+00,1.191461E+05,4.115015E+00,3.476807E+04,8.596657E+04,4.115015E+00,1.294837E+05,4.115015E+00,2.443055E+04,8.088820E+04,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00,4.115015E+00,1.191461E+05,4.115015E+00,3.476807E+04,8.596657E+04,4.115015E+00,1.294837E+05,4.115015E+00,2.443055E+04,8.088820E+04,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00
05:00:00,1.786267E+00,5.205342E+04,3.717466E+00,4.803389E+04,1.047940E+05,1.786267E+00,5.654079E+04,3.610604E+00,4.170363E+04,9.927418E+04,1.786267E+00,1.190049E+05,1.786267E+00,0.000000E+00,0.000000E+00,4.115015E+00,1.199152E+05,4.115015E+00,3.399896E+04,8.517853E+04,4.115015E+00,1.302528E+05,4.115015E+00,2.366144E+04,7.838622E+04,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00,4.115015E+00,1.199152E+05,4.115015E+00,3.399896E+04,8.517853E+04,4.115015E+00,1.302528E+05,4.115015E+00,2.366144E+04,7.838622E+04,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00
06:00:00,1.786267E+00,5.171956E+04,5.641200E+00,7.499188E+04,1.463022E+05,1.786267E+00,5.620693E+04,5.522446E+00,6.865480E+04,1.421615E+05,1.786267E+00,1.190049E+05,1.786267E+00,0.000000E+00,0.000000E+00,4.115015E+00,1.191461E+05,4.115015E+00,3.476807E+04,8.596657E+04,4.115015E+00,1.294837E+05,4.115015E+00,2.443055E+04,8.088820E+04,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00,4.115015E+00,1.191461E+05,4.415822E+00,3.891744E+04,9.717571E+04,4.115015E+00,1.294837E+05,4.218941E+00,2.586368E+04,8.488086E+04,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00
07:00:00,1.786267E+00,5.055105E+04,8.302554E+00,1.063950E+05,1.879959E+05,1.786267E+00,5.503842E+04,8.152966E+00,9.981953E+04,1.868579E+05,1.786267E+00,1.190049E+05,1.786267E+00,0.000000E+00,0.000000E+00,4.115015E+00,1.164542E+05,8.681561E+00,9.153436E+04,1.987135E+05,4.115015E+00,1.267918E+05,8.547642E+00,7.959469E+04,1.991690E+05,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00,4.115015E+00,1.164542E+05,8.979437E+00,9.509335E+04,2.011803E+05,4.115015E+00,1.267918E+05,8.802232E+00,8.263646E+04,2.005058E+05,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00
08:00:00,1.786267E+00,4.771324E+04,8.122300E+00,1.031272E+05,1.732752E+05,1.786267E+00,5.220061E+04,7.973806E+00,9.666633E+04,1.790916E+05,1.786267E+00,1.190049E+05,1.786267E+00,0.000000E+00,0.000000E+00,4.115015E+00,1.099168E+05,9.194820E+00,1.011884E+05,1.870723E+05,4.115015E+00,1.202543E+05,9.064815E+00,8.938487E+04,2.025103E+05,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00,4.115015E+00,1.099168E+05,9.130944E+00,1.004730E+05,1.848869E+05,4.115015E+00,1.202543E+05,8.963457E+00,8.824685E+04,1.998193E+05,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00
09:00:00,1.786267E+00,4.454157E+04,8.194942E+00,1.071946E+05,1.763535E+05,1.786267E+00,4.902894E+04,8.049306E+00,1.007727E+05,1.897015E+05,1.786267E+00,1.190049E+05,1.786267E+00,0.000000E+00,0.000000E+00,4.115015E+00,1.026102E+05,9.209448E+00,1.085996E+05,1.860855E+05,4.115015E+00,1.129478E+05,9.083312E+00,9.684092E+04,2.168406E+05,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00,4.115015E+00,1.026102E+05,9.169824E+00,1.081603E+05,1.858991E+05,4.115015E+00,1.129478E+05,9.007461E+00,9.599351E+04,2.164421E+05,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00
10:00:00,1.786267E+00,4.170377E+04,8.271726E+00,1.110233E+05,1.816528E+05,1.786267E+00,4.619113E+04,8.014187E+00,1.031168E+05,1.935540E+05,1.786267E+00,1.190049E+05,1.786267E+00,0.000000E+00,0.000000E+00,4.115015E+00,9.607278E+04,9.105263E+00,1.139669E+05,1.929321E+05,4.115015E+00,1.064103E+05,8.980147E+00,1.022209E+05,2.243073E+05,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00,4.115015E+00,9.607278E+04,9.205475E+00,1.150951E+05,1.949003E+05,4.115015E+00,1.064103E+05,9.043915E+00,1.029378E+05,2.259312E+05,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00
11:00:00,1.786267E+00,3.919982E+04,8.291276E+00,1.137723E+05,1.845166E+05,1.786267E+00,4.368718E+04,8.113036E+00,1.069146E+05,1.987805E+05,1.786267E+00,1.190049E+05,1.786267E+00,0.000000E+00,0.000000E+00,4.115015E+00,9.030445E+04,9.031692E+00,1.189032E+05,1.987372E+05,4.115015E+00,1.006420E+05,8.908218E+00,1.071741E+05,2.303156E+05,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00,4.115015E+00,9.030445E+04,9.176580E+00,1.205311E+05,2.009422E+05,4.115015E+00,1.006420E+05,9.016498E+00,1.083891E+05,2.321262E+05,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00
12:00:00,1.786267E+00,3.753052E+04,8.242666E+00,1.147925E+05,1.847763E+05,1.786267E+00,4.201788E+04,8.092480E+00,1.083010E+05,1.993003E+05,1.786267E+00,1.190049E+05,1.786267E+00,0.000000E+00,0.000000E+00,4.115015E+00,8.645889E+04,8.924678E+00,1.215397E+05,2.005000E+05,4.115015E+00,9.679641E+04,8.803166E+00,1.098317E+05,2.320340E+05,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00,4.115015E+00,8.645889E+04,9.082739E+00,1.233164E+05,2.027866E+05,4.115015E+00,9.679641E+04,8.925193E+00,1.112021E+05,2.339492E+05,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00
13:00:00,1.786267E+00,3.619508E+04,8.226337E+00,1.159120E+05,1.859236E+05,1.786267E+00,4.068244E+04,8.077586E+00,1.094388E+05,2.001806E+05,1.786267E+00,1.190049E+05,1.786267E+00,0.000000E+00,0.000000E+00,4.115015E+00,8.338244E+04,8.854263E+00,1.238240E+05,2.025012E+05,4.115015E+00,9.371997E+04,8.733815E+00,1.121277E+05,2.340213E+05,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00,4.115015E+00,8.338244E+04,9.029147E+00,1.257905E+05,2.050738E+05,4.115015E+00,9.371997E+04,8.873151E+00,1.136935E+05,2.362381E+05,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00
14:00:00,1.786267E+00,3.536043E+04,8.244041E+00,1.169806E+05,1.873100E+05,1.786267E+00,3.984779E+04,8.096585E+00,1.105253E+05,2.015804E+05,1.786267E+00,1.190049E+05,1.786267E+00,0.000000E+00,0.000000E+00,4.115015E+00,8.145967E+04,8.820987E+00,1.253725E+05,2.041682E+05,4.115015E+00,9.179719E+04,8.701173E+00,1.136833E+05,2.357069E+05,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00,4.115015E+00,8.145967E+04,9.017585E+00,1.275833E+05,2.070733E+05,4.115015E+00,9.179719E+04,8.862505E+00,1.154966E+05,2.382616E+05,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00
15:00:00,1.786267E+00,3.536043E+04,8.238103E+00,1.169006E+05,1.871249E+05,1.786267E+00,3.984779E+04,8.091606E+00,1.104584E+05,2.014261E+05,1.786267E+00,1.190049E+05,1.786267E+00,0.000000E+00,0.000000E+00,4.115015E+00,8.145967E+04,8.799906E+00,1.251345E+05,2.039484E+05,4.115015E+00,9.179719E+04,8.658747E+00,1.132054E+05,2.351205E+05,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00,4.115015E+00,8.145967E+04,8.988029E+00,1.272501E+05,2.066456E+05,4.115015E+00,9.179719E+04,8.834156E+00,1.151770E+05,2.378479E+05,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00
16:00:00,1.786267E+00,3.636201E+04,8.207470E+00,1.154932E+05,1.854556E+05,1.786267E+00,4.084937E+04,8.061751E+00,1.090614E+05,1.997504E+05,1.786267E+00,1.190049E+05,1.786267E+00,0.000000E+00,0.000000E+00,4.115015E+00,8.376700E+04,8.792452E+00,1.227425E+05,2.015163E+05,4.115015E+00,9.410452E+04,8.667201E+00,1.109925E+05,2.330042E+05,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00,4.115015E+00,8.376700E+04,8.939784E+00,1.243999E+05,2.035330E+05,4.115015E+00,9.410452E+04,8.787081E+00,1.123400E+05,2.347323E+05,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00
17:00:00,1.786267E+00,3.769745E+04,8.196999E+00,1.140197E+05,1.840230E+05,1.786267E+00,4.218481E+04,8.051519E+00,1.075911E+05,1.983186E+05,1.786267E+00,1.190049E+05,1.786267E+00,0.000000E+00,0.000000E+00,4.115015E+00,8.684345E+04,8.785810E+00,1.195909E+05,1.982810E+05,4.115015E+00,9.718097E+04,8.664390E+00,1.078835E+05,2.297993E+05,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00,4.115015E+00,8.684345E+04,8.918011E+00,1.210786E+05,2.001511E+05,4.115015E+00,9.718097E+04,8.765853E+00,1.090248E+05,2.313437E+05,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00
18:00:00,1.786267E+00,3.936675E+04,8.136762E+00,1.115525E+05,1.811664E+05,1.786267E+00,4.385411E+04,7.991708E+00,1.051297E+05,1.954464E+05,1.786267E+00,1.190049E+05,1.786267E+00,0.000000E+00,0.000000E+00,4.115015E+00,9.068900E+04,8.733551E+00,1.151575E+05,1.934833E+05,4.115015E+00,1.010265E+05,8.613483E+00,1.034654E+05,2.249768E+05,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00,4.115015E+00,9.068900E+04,8.846606E+00,1.164298E+05,1.950978E+05,4.115015E+00,1.010265E+05,8.695386E+00,1.043866E+05,2.262762E+05,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00
19:00:00,1.786267E+00,4.187070E+04,7.916032E+00,1.061260E+05,1.743130E+05,1.786267E+00,4.635806E+04,7.771991E+00,9.971716E+04,1.885187E+05,1.786267E+00,1.190049E+05,1.786267E+00,0.000000E+00,0.000000E+00,4.115015E+00,9.645734E+04,8.600807E+00,1.078968E+05,1.854607E+05,4.115015E+00,1.067949E+05,8.482753E+00,9.622757E+04,2.169371E+05,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00,4.115015E+00,9.645734E+04,8.664801E+00,1.086173E+05,1.863001E+05,4.115015E+00,1.067949E+05,8.515445E+00,9.659532E+04,2.174455E+05,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00
20:00:00,1.786267E+00,4.370692E+04,7.498919E+00,9.876847E+04,1.647763E+05,1.786267E+00,4.819429E+04,7.357265E+00,9.239236E+04,1.788776E+05,1.786267E+00,1.190049E+05,1.786267E+00,0.000000E+00,0.000000E+00,4.115015E+00,1.006875E+05,8.301268E+00,1.002993E+05,1.763705E+05,4.115015E+00,1.110250E+05,8.186914E+00,8.867192E+04,2.078331E+05,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00,4.115015E+00,1.006875E+05,8.220348E+00,9.939033E+04,1.748695E+05,4.115015E+00,1.110250E+05,8.074970E+00,8.741356E+04,2.059564E+05,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00
21:00:00,1.786267E+00,4.520929E+04,7.276799E+00,9.432825E+04,1.606235E+05,1.786267E+00,4.969666E+04,7.136490E+00,8.797056E+04,1.747263E+05,1.786267E+00,1.190049E+05,1.786267E+00,0.000000E+00,0.000000E+00,4.115015E+00,1.041485E+05,8.110647E+00,9.469610E+04,1.703110E+05,4.115015E+00,1.144860E+05,7.998693E+00,8.309589E+04,2.017087E+05,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00,4.115015E+00,1.041485E+05,7.973944E+00,9.316059E+04,1.681727E+05,4.115015E+00,1.144860E+05,7.830984E+00,8.121126E+04,1.991795E+05,4.115015E+00,2.741511E+05,4.115015E+00,0.000000E+00,0.000000E+00
