Datetime,Electricity:Facility(kWh),ElectricityProduced:Facility(),Gas:Facility(kBtu),DistrictCooling:Facility(),DistrictHeating:Facility(),District Cooling Chilled Water Rate(),District Cooling Mass Flow Rate(),District Cooling Inlet Temperature(),District Cooling Outlet Temperature(),District Heating Hot Water Rate(),District Heating Mass Flow Rate(),District Heating Inlet Temperature(),District Heating Outlet Temperature(),Net Electric Energy(kWh),Electricity:Facility Power(kW),ElectricityProduced:Facility Power(kW),Electricity:Facility Apparent Power(kW),ElectricityProduced:Facility Apparent Power(kW),Net Power(kW),Net Apparent Power(kW)
2019/01/01 01:00:00,3963.7115654974295,0.0,25733.40032597081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3963.7115654974295,3963.7115654974295,0.0,4404.12396166381,0.0,3963.7115654974295,4404.12396166381
2019/01/01 02:00:00,2888.7365581506465,0.0,7297.597637161929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2888.7365581506465,2888.7365581506465,0.0,3209.707286834052,0.0,2888.7365581506465,3209.707286834052
2019/01/01 03:00:00,3554.763617058857,0.0,12177.931223652873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3554.763617058857,3554.763617058857,0.0,3949.7373522876196,0.0,3554.763617058857,3949.7373522876196
2019/01/01 04:00:00,2997.4487596272993,0.0,6637.490424037849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2997.4487596272993,2997.4487596272993,0.0,3330.49862180811,0.0,2997.4487596272993,3330.49862180811
2019/01/01 05:00:00,4016.437058884604,0.0,14501.142592578044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4016.437058884604,4016.437058884604,0.0,4462.707843205116,0.0,4016.437058884604,4462.707843205116
2019/01/01 06:00:00,5353.771628837711,0.0,15892.391304377521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5353.771628837711,5353.771628837711,0.0,5948.635143153013,0.0,5353.771628837711,5948.635143153013
2019/01/01 07:00:00,7662.722881752405,0.0,34577.49484289784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7662.722881752405,7662.722881752405,0.0,8514.136535280448,0.0,7662.722881752405,8514.136535280448
2019/01/01 08:00:00,9484.047111780836,0.0,54001.27699372497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9484.047111780836,9484.047111780836,0.0,10537.830124200927,0.0,9484.047111780836,10537.830124200927
2019/01/01 09:00:00,10717.864999331254,0.0,63545.39424911704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10717.864999331254,10717.864999331254,0.0,11908.73888814584,0.0,10717.864999331254,11908.73888814584
2019/01/01 10:00:00,11056.893262025365,0.0,52458.44656670052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11056.893262025365,11056.893262025365,0.0,12285.436957805965,0.0,11056.893262025365,12285.436957805965
2019/01/01 11:00:00,12815.421147632127,0.0,60339.52365029161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12815.421147632127,12815.421147632127,0.0,14239.356830702358,0.0,12815.421147632127,14239.356830702358
2019/01/01 12:00:00,13143.16281433207,0.0,60992.878536625765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13143.16281433207,13143.16281433207,0.0,14603.514238146741,0.0,13143.16281433207,14603.514238146741
2019/01/01 13:00:00,12634.378134704444,0.0,56674.29806347182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12634.378134704444,12634.378134704444,0.0,14038.197927449384,0.0,12634.378134704444,14038.197927449384
2019/01/01 14:00:00,12718.879302305297,0.0,53320.72557019487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12718.879302305297,12718.879302305297,0.0,14132.08811367255,0.0,12718.879302305297,14132.08811367255
2019/01/01 15:00:00,12210.70673230455,0.0,54530.2818706148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12210.70673230455,12210.70673230455,0.0,13567.451924782834,0.0,12210.70673230455,13567.451924782834
2019/01/01 16:00:00,12001.684880617622,0.0,57528.2226729883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12001.684880617622,12001.684880617622,0.0,13335.205422908468,0.0,12001.684880617622,13335.205422908468
2019/01/01 17:00:00,12389.277003108884,0.0,62341.85035881858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12389.277003108884,12389.277003108884,0.0,13765.863336787648,0.0,12389.277003108884,13765.863336787648
2019/01/01 18:00:00,13199.643718922598,0.0,61302.61813047819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13199.643718922598,13199.643718922598,0.0,14666.270798802883,0.0,13199.643718922598,14666.270798802883
2019/01/01 19:00:00,12458.167630619984,0.0,59446.01999775563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12458.167630619984,12458.167630619984,0.0,13842.40847846665,0.0,12458.167630619984,13842.40847846665
