Code,NodeA,NodeB,NomV,Len,Equip,R,X,C,R0,X0,C0,Imax,Status,Phases,PhasesV,PhasesVI,Subest,Feeder,
L(R:1_27-DT3)                                               ,DT3                                            ,1_27  ,12.47 ,0.202 ,3P_UG_AL_4/0_25_12_47_0                ,0.06547 ,0.05247 ,24.56405 ,0.15331 ,0.05099 ,0.05099 ,330  ,1 ,ABC ,ABC_MV ,3_MV_330  ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 -> 8_10 ,
L(R:3_14-DT3)                                               ,3_14                                           ,DT3   ,12.47 ,0.070 ,3P_UG_AL_4/0_25_12_47_0                ,0.02262 ,0.01812 ,8.48571  ,0.05296 ,0.01761 ,0.01761 ,330  ,1 ,ABC ,ABC_MV ,3_MV_330  ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 -> 8_10 ,
L(R:3_14-8_10)                                              ,8_10                                           ,3_14  ,12.47 ,0.240 ,3P_UG_AL_350kcmil_15_12_47_0           ,0.05316 ,0.05719 ,38.73043 ,0.15150 ,0.05193 ,0.05193 ,440  ,1 ,ABC ,ABC_MV ,3_MV_440  ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 -> 8_10 ,
L(R:8_10-sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47)_s0 ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 ,8_10  ,12.47 ,0.250 ,3P_OH_AL_ACSR_336kcmil_Merlin_12_47_0  ,0.04301 ,0.07611 ,3.76332  ,0.10019 ,0.24419 ,0.24419 ,520  ,1 ,ABC ,ABC_MV ,3_MV_520  ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 -> 8_10 ,
L(R:8_10-sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47)_s1 ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 ,8_10  ,12.47 ,0.222 ,3P_OH_AL_ACSR_336kcmil_Merlin_12_47_0  ,0.03808 ,0.06738 ,3.33166  ,0.08870 ,0.21618 ,0.21618 ,520  ,1 ,ABC ,ABC_MV ,3_MV_520  ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 -> 8_10 ,
L(R:10_28-DT0)                                              ,DT0                                            ,10_28 ,12.47 ,0.257 ,3P_UG_AL_4/0_25_12_47_0                ,0.08320 ,0.06667 ,31.21654 ,0.19483 ,0.06480 ,0.06480 ,330  ,1 ,ABC ,ABC_MV ,3_MV_330  ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 -> DT0  ,
L(R:DT0-sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47)_s0  ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 ,DT0   ,12.47 ,0.408 ,3P_UG_AL_750kcmil_15_12_47_0           ,0.06035 ,0.07331 ,76.01567 ,0.12725 ,0.04380 ,0.04380 ,640  ,1 ,ABC ,ABC_MV ,3_MV_640  ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 -> DT0  ,
L(R:DT0-sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47)_s1  ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 ,DT0   ,12.47 ,0.140 ,3P_OH_AL_ACSR_477kcmil_Hawk_12_47_0    ,0.01683 ,0.03969 ,2.24509  ,0.04120 ,0.12815 ,0.12815 ,660  ,1 ,ABC ,ABC_MV ,3_MV_660  ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 -> DT0  ,
L(R:1_27-DT2)                                               ,1_27                                           ,DT2   ,12.47 ,0.065 ,3P_UG_AL_4/0_25_12_47_0                ,0.02088 ,0.01673 ,7.83437  ,0.04890 ,0.01626 ,0.01626 ,330  ,1 ,ABC ,ABC_MV ,3_MV_330  ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 -> 8_10 ,
L(R:9_13-DT0)                                               ,DT0                                            ,9_13  ,12.47 ,0.178 ,3P_UG_AL_4/0_25_12_47_0                ,0.05740 ,0.04600 ,21.53691 ,0.13442 ,0.04470 ,0.04470 ,330  ,1 ,ABC ,ABC_MV ,3_MV_330  ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 -> DT0  ,
