Time,BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s]
01:00:00,0.000000E+00,1.362945E+04,0.000000E+00,9.593315E-01,8.403927E+04,1.663899E+06,3.924384E+00,1.234173E+02,2.079696E+05,4.363813E+05,1.073383E+01,2.494399E+01,9.041600E+04,9.166982E+04,3.640762E+00,6.451569E+00
02:00:00,0.000000E+00,2.444114E+04,0.000000E+00,1.720229E+00,8.402709E+04,9.460557E+05,3.923782E+00,5.415426E+01,2.079595E+05,4.683803E+05,1.073322E+01,2.671250E+01,1.483378E+05,1.084726E+05,5.960979E+00,7.634371E+00
03:00:00,0.000000E+00,2.708725E+04,0.000000E+00,1.906307E+00,8.402943E+04,1.139415E+06,3.923874E+00,6.490880E+01,2.079640E+05,4.889291E+05,1.073342E+01,2.786320E+01,1.845205E+05,1.211402E+05,7.414111E+00,8.525968E+00
04:00:00,2.849500E+03,2.947730E+04,1.153001E-01,2.074650E+00,8.400180E+04,1.178119E+06,3.922584E+00,6.727571E+01,2.079405E+05,5.484835E+05,1.073221E+01,3.144834E+01,2.137523E+05,1.302561E+05,8.588240E+00,9.169452E+00
05:00:00,2.436623E+04,3.121245E+04,9.793113E-01,2.196801E+00,8.401795E+04,1.251205E+06,3.923287E+00,7.148960E+01,2.079533E+05,5.896015E+05,1.073276E+01,3.384505E+01,2.359909E+05,1.384478E+05,9.480674E+00,9.746300E+00
06:00:00,2.611823E+05,1.234966E+05,1.109063E+01,9.140699E+00,8.409032E+04,1.644485E+06,3.926791E+00,1.039506E+02,2.080277E+05,1.087099E+06,1.073688E+01,7.643326E+01,4.871241E+05,2.737429E+05,2.084587E+01,2.043066E+01
07:00:00,4.525503E+05,2.275099E+05,2.113018E+01,1.793766E+01,8.407200E+04,2.054942E+06,3.925948E+00,1.459832E+02,2.080056E+05,1.693751E+06,1.073577E+01,1.405039E+02,7.097438E+05,4.340459E+05,3.326351E+01,3.427699E+01
08:00:00,5.797771E+05,3.524322E+05,2.928212E+01,2.960153E+01,8.405600E+04,1.946638E+06,3.925190E+00,1.436068E+02,2.079877E+05,1.624670E+06,1.073482E+01,1.410596E+02,8.410592E+05,5.854335E+05,4.251990E+01,4.920490E+01
09:00:00,4.573102E+05,3.261376E+05,2.359787E+01,2.848038E+01,8.398373E+04,1.881112E+06,3.921812E+00,1.396498E+02,2.079202E+05,1.566087E+06,1.073133E+01,1.369487E+02,6.977403E+05,5.431781E+05,3.600203E+01,4.741875E+01
10:00:00,4.402316E+05,3.357645E+05,2.271530E+01,2.932766E+01,8.401580E+04,1.842514E+06,3.923190E+00,1.368838E+02,2.079474E+05,1.534409E+06,1.073247E+01,1.342692E+02,6.658771E+05,5.507104E+05,3.435453E+01,4.809926E+01
