Time,1 ZONE VAV:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE VAV:DesPer 1:Des Heat Cap [W],1 ZONE VAV:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE VAV:DesPer 1:Des Sens Cool Cap [W],1 ZONE VAV:DesPer 1:Des Tot Cool Cap [W],1 ZONE VAV:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE VAV:DesPer 2:Des Heat Cap [W],1 ZONE VAV:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE VAV:DesPer 2:Des Sens Cool Cap [W],1 ZONE VAV:DesPer 2:Des Tot Cool Cap [W],1 ZONE VAV:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE VAV:DesPer 3:Des Heat Cap [W],1 ZONE VAV:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE VAV:DesPer 3:Des Sens Cool Cap [W],1 ZONE VAV:DesPer 3:Des Tot Cool Cap [W],1 ZONE VAV 1:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE VAV 1:DesPer 1:Des Heat Cap [W],1 ZONE VAV 1:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE VAV 1:DesPer 1:Des Sens Cool Cap [W],1 ZONE VAV 1:DesPer 1:Des Tot Cool Cap [W],1 ZONE VAV 1:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE VAV 1:DesPer 2:Des Heat Cap [W],1 ZONE VAV 1:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE VAV 1:DesPer 2:Des Sens Cool Cap [W],1 ZONE VAV 1:DesPer 2:Des Tot Cool Cap [W],1 ZONE VAV 1:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE VAV 1:DesPer 3:Des Heat Cap [W],1 ZONE VAV 1:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE VAV 1:DesPer 3:Des Sens Cool Cap [W],1 ZONE VAV 1:DesPer 3:Des Tot Cool Cap [W],1 ZONE VAV 2:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE VAV 2:DesPer 1:Des Heat Cap [W],1 ZONE VAV 2:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE VAV 2:DesPer 1:Des Sens Cool Cap [W],1 ZONE VAV 2:DesPer 1:Des Tot Cool Cap [W],1 ZONE VAV 2:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE VAV 2:DesPer 2:Des Heat Cap [W],1 ZONE VAV 2:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE VAV 2:DesPer 2:Des Sens Cool Cap [W],1 ZONE VAV 2:DesPer 2:Des Tot Cool Cap [W],1 ZONE VAV 2:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE VAV 2:DesPer 3:Des Heat Cap [W],1 ZONE VAV 2:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE VAV 2:DesPer 3:Des Sens Cool Cap [W],1 ZONE VAV 2:DesPer 3:Des Tot Cool Cap [W],1 ZONE VAV 3:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE VAV 3:DesPer 1:Des Heat Cap [W],1 ZONE VAV 3:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE VAV 3:DesPer 1:Des Sens Cool Cap [W],1 ZONE VAV 3:DesPer 1:Des Tot Cool Cap [W],1 ZONE VAV 3:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE VAV 3:DesPer 2:Des Heat Cap [W],1 ZONE VAV 3:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE VAV 3:DesPer 2:Des Sens Cool Cap [W],1 ZONE VAV 3:DesPer 2:Des Tot Cool Cap [W],1 ZONE VAV 3:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE VAV 3:DesPer 3:Des Heat Cap [W],1 ZONE VAV 3:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE VAV 3:DesPer 3:Des Sens Cool Cap [W],1 ZONE VAV 3:DesPer 3:Des Tot Cool Cap [W]
01:00:00,8.850914E+00,0.000000E+00,8.850914E+00,8.305338E+04,1.933795E+05,8.850914E+00,0.000000E+00,8.850914E+00,6.081858E+04,2.015072E+05,8.850914E+00,2.586153E+05,8.850914E+00,0.000000E+00,0.000000E+00,4.571445E+01,0.000000E+00,1.436236E+02,1.728745E+06,3.015358E+06,4.571445E+01,0.000000E+00,1.431467E+02,1.607579E+06,3.052271E+06,4.571445E+01,1.335733E+06,4.571445E+01,0.000000E+00,0.000000E+00,7.341052E+01,0.000000E+00,7.341052E+01,6.888545E+05,1.603912E+06,7.341052E+01,0.000000E+00,7.341052E+01,5.044365E+05,1.671324E+06,7.341052E+01,2.144986E+06,7.341052E+01,0.000000E+00,0.000000E+00,8.850914E+00,0.000000E+00,8.850914E+00,8.305338E+04,1.933795E+05,8.850914E+00,0.000000E+00,8.850914E+00,6.081858E+04,2.015072E+05,8.850914E+00,2.586153E+05,8.850914E+00,0.000000E+00,0.000000E+00
02:00:00,8.850914E+00,0.000000E+00,8.850914E+00,7.974484E+04,1.899892E+05,8.850914E+00,0.000000E+00,8.850914E+00,5.751005E+04,1.903713E+05,8.850914E+00,2.586153E+05,8.850914E+00,0.000000E+00,0.000000E+00,4.571445E+01,0.000000E+00,4.847326E+01,4.583608E+05,1.069767E+06,4.571445E+01,0.000000E+00,4.823357E+01,3.394792E+05,1.064279E+06,4.571445E+01,1.335733E+06,4.571445E+01,0.000000E+00,0.000000E+00,7.341052E+01,0.000000E+00,7.341052E+01,6.614131E+05,1.575793E+06,7.341052E+01,0.000000E+00,7.341052E+01,4.769951E+05,1.578962E+06,7.341052E+01,2.144986E+06,7.341052E+01,0.000000E+00,0.000000E+00,8.850914E+00,0.000000E+00,8.850914E+00,7.974484E+04,1.899892E+05,8.850914E+00,0.000000E+00,8.850914E+00,5.751005E+04,1.903713E+05,8.850914E+00,2.586153E+05,8.850914E+00,0.000000E+00,0.000000E+00
03:00:00,8.850914E+00,0.000000E+00,8.850914E+00,7.726344E+04,1.874467E+05,8.850914E+00,0.000000E+00,8.850914E+00,5.502864E+04,1.821297E+05,8.850914E+00,2.586153E+05,8.850914E+00,0.000000E+00,0.000000E+00,4.571445E+01,0.000000E+00,6.082146E+01,6.602323E+05,1.520690E+06,4.571445E+01,0.000000E+00,6.044924E+01,5.389554E+05,1.481254E+06,4.571445E+01,1.335733E+06,4.571445E+01,0.000000E+00,0.000000E+00,7.341052E+01,0.000000E+00,7.341052E+01,6.408320E+05,1.554705E+06,7.341052E+01,0.000000E+00,7.341052E+01,4.564140E+05,1.510605E+06,7.341052E+01,2.144986E+06,7.341052E+01,0.000000E+00,0.000000E+00,8.850914E+00,0.000000E+00,8.850914E+00,7.726344E+04,1.874467E+05,8.850914E+00,0.000000E+00,8.850914E+00,5.502864E+04,1.821297E+05,8.850914E+00,2.586153E+05,8.850914E+00,0.000000E+00,0.000000E+00
04:00:00,8.850914E+00,0.000000E+00,8.850914E+00,7.478203E+04,1.849040E+05,8.850914E+00,0.000000E+00,8.850914E+00,5.254724E+04,1.739810E+05,8.850914E+00,2.586153E+05,8.850914E+00,0.000000E+00,0.000000E+00,4.571445E+01,0.000000E+00,6.776171E+01,7.663276E+05,1.785462E+06,4.571445E+01,0.000000E+00,6.740237E+01,6.452859E+05,1.718281E+06,4.571445E+01,1.335733E+06,4.571445E+01,0.000000E+00,0.000000E+00,7.341052E+01,0.000000E+00,7.341052E+01,6.202510E+05,1.533615E+06,7.341052E+01,0.000000E+00,7.341052E+01,4.358330E+05,1.443019E+06,7.341052E+01,2.144986E+06,7.341052E+01,0.000000E+00,0.000000E+00,8.850914E+00,0.000000E+00,8.850914E+00,7.478203E+04,1.849040E+05,8.850914E+00,0.000000E+00,8.850914E+00,5.254724E+04,1.739810E+05,8.850914E+00,2.586153E+05,8.850914E+00,0.000000E+00,0.000000E+00
05:00:00,8.850914E+00,0.000000E+00,8.850914E+00,7.312776E+04,1.832090E+05,8.850914E+00,0.000000E+00,8.850914E+00,5.089297E+04,1.685995E+05,8.850914E+00,2.586153E+05,8.850914E+00,0.000000E+00,0.000000E+00,4.571445E+01,0.000000E+00,7.295204E+01,8.472299E+05,1.931608E+06,4.571445E+01,0.000000E+00,7.257476E+01,7.258806E+05,1.845764E+06,4.571445E+01,1.335733E+06,4.571445E+01,0.000000E+00,0.000000E+00,7.341052E+01,0.000000E+00,7.341052E+01,6.065303E+05,1.519557E+06,7.341052E+01,0.000000E+00,7.341052E+01,4.221123E+05,1.398384E+06,7.341052E+01,2.144986E+06,7.341052E+01,0.000000E+00,0.000000E+00,8.850914E+00,0.000000E+00,8.850914E+00,7.312776E+04,1.832090E+05,8.850914E+00,0.000000E+00,8.850914E+00,5.089297E+04,1.685995E+05,8.850914E+00,2.586153E+05,8.850914E+00,0.000000E+00,0.000000E+00
06:00:00,8.850914E+00,0.000000E+00,8.850914E+00,7.478203E+04,1.849040E+05,8.850914E+00,0.000000E+00,8.850914E+00,5.254724E+04,1.739810E+05,8.850914E+00,2.586153E+05,8.850914E+00,0.000000E+00,0.000000E+00,4.571445E+01,0.000000E+00,8.703630E+01,1.084499E+06,2.293426E+06,4.571445E+01,0.000000E+00,8.609469E+01,9.582475E+05,2.236013E+06,4.571445E+01,1.335733E+06,4.571445E+01,0.000000E+00,0.000000E+00,7.341052E+01,0.000000E+00,7.341052E+01,6.202510E+05,1.533615E+06,7.341052E+01,0.000000E+00,7.341052E+01,4.358330E+05,1.443019E+06,7.341052E+01,2.144986E+06,7.341052E+01,0.000000E+00,0.000000E+00,8.850914E+00,0.000000E+00,8.850914E+00,7.478203E+04,1.849040E+05,8.850914E+00,0.000000E+00,8.850914E+00,5.254724E+04,1.739810E+05,2.387372E+01,1.914608E+05,8.850914E+00,0.000000E+00,0.000000E+00
07:00:00,8.850914E+00,0.000000E+00,2.560375E+01,2.888069E+05,5.172139E+05,8.850914E+00,0.000000E+00,2.190967E+01,2.203068E+05,4.695826E+05,2.311023E+01,1.662430E+05,8.850914E+00,0.000000E+00,0.000000E+00,4.571445E+01,0.000000E+00,1.777115E+02,2.216914E+06,3.860948E+06,4.571445E+01,0.000000E+00,1.771033E+02,2.094093E+06,3.869844E+06,4.571445E+01,1.335733E+06,4.571445E+01,0.000000E+00,0.000000E+00,7.341052E+01,0.000000E+00,1.311552E+02,1.352093E+06,3.186901E+06,7.341052E+01,0.000000E+00,1.276914E+02,1.126655E+06,3.131689E+06,7.341052E+01,2.144986E+06,7.341052E+01,0.000000E+00,0.000000E+00,8.850914E+00,0.000000E+00,3.646820E+01,4.262704E+05,6.992410E+05,8.850914E+00,0.000000E+00,2.848570E+01,3.034053E+05,5.958512E+05,4.183448E+01,4.545893E+04,8.850914E+00,0.000000E+00,0.000000E+00
08:00:00,8.850914E+00,0.000000E+00,4.182438E+01,4.793540E+05,7.697448E+05,8.850914E+00,0.000000E+00,3.782208E+01,4.102535E+05,7.814769E+05,4.077932E+01,5.409726E+03,8.850914E+00,0.000000E+00,0.000000E+00,4.571445E+01,0.000000E+00,1.783973E+02,2.253897E+06,3.720954E+06,4.571445E+01,0.000000E+00,1.779231E+02,2.132758E+06,3.908190E+06,4.571445E+01,1.335733E+06,4.571445E+01,0.000000E+00,0.000000E+00,7.341052E+01,0.000000E+00,1.833210E+02,2.027894E+06,3.945165E+06,7.341052E+01,0.000000E+00,1.815943E+02,1.823841E+06,4.238635E+06,7.341052E+01,2.144986E+06,7.341052E+01,0.000000E+00,0.000000E+00,8.850914E+00,0.000000E+00,6.813041E+01,7.876691E+05,1.151619E+06,8.850914E+00,0.000000E+00,6.389365E+01,7.152535E+05,1.210403E+06,5.979245E+01,0.000000E+00,8.850914E+00,0.000000E+00,0.000000E+00
09:00:00,8.850914E+00,0.000000E+00,3.950303E+01,4.559228E+05,6.655331E+05,8.850914E+00,0.000000E+00,3.631007E+01,3.976451E+05,7.219945E+05,3.384844E+01,5.218938E+04,8.850914E+00,0.000000E+00,0.000000E+00,4.571445E+01,0.000000E+00,1.692923E+02,2.209051E+06,3.505050E+06,4.571445E+01,0.000000E+00,1.688074E+02,2.087764E+06,3.861814E+06,4.571445E+01,1.335733E+06,4.571445E+01,0.000000E+00,0.000000E+00,7.341052E+01,0.000000E+00,1.721166E+02,2.026527E+06,3.370347E+06,7.341052E+01,0.000000E+00,1.705464E+02,1.824394E+06,3.930309E+06,7.341052E+01,2.144986E+06,7.341052E+01,0.000000E+00,0.000000E+00,8.850914E+00,0.000000E+00,6.319265E+01,7.231643E+05,9.607523E+05,8.850914E+00,0.000000E+00,5.935325E+01,6.575054E+05,1.027508E+06,5.088724E+01,0.000000E+00,8.850914E+00,0.000000E+00,0.000000E+00
10:00:00,8.850914E+00,0.000000E+00,3.904239E+01,4.647490E+05,6.644475E+05,8.850914E+00,0.000000E+00,3.621534E+01,4.106086E+05,7.290321E+05,3.208012E+01,6.679955E+04,8.850914E+00,0.000000E+00,0.000000E+00,4.571445E+01,0.000000E+00,1.642768E+02,2.214612E+06,3.538521E+06,4.571445E+01,0.000000E+00,1.637769E+02,2.093127E+06,3.897014E+06,4.571445E+01,1.335733E+06,4.571445E+01,0.000000E+00,0.000000E+00,7.341052E+01,0.000000E+00,1.652745E+02,2.065990E+06,3.478362E+06,7.341052E+01,0.000000E+00,1.637516E+02,1.864409E+06,4.038889E+06,7.341052E+01,2.144986E+06,7.341052E+01,0.000000E+00,0.000000E+00,8.850914E+00,0.000000E+00,6.150537E+01,7.180051E+05,9.511698E+05,8.850914E+00,0.000000E+00,5.794634E+01,6.555600E+05,1.032368E+06,4.790490E+01,0.000000E+00,8.850914E+00,0.000000E+00,0.000000E+00
