Time,BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 7 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 7 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 7 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 7 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 8 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 8 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 8 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 8 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s]
01:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.270756E+05,0.000000E+00,6.596759E+00,0.000000E+00,4.078325E+05,3.407343E+05,2.104208E+01,1.946382E+01,1.132641E+05,2.693359E+05,3.844487E+00,3.657890E+01,1.101594E+05,1.287103E+06,5.143900E+00,9.545407E+01,4.775465E+05,1.093972E+06,2.463666E+01,9.557076E+01,8.719038E+04,2.588067E+05,2.959641E+00,3.514830E+01,2.444639E+05,2.424462E+04,9.805674E+00,1.425888E+00
02:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.212191E+03,0.000000E+00,4.831555E-01,4.082045E+05,3.571026E+05,2.106287E+01,2.035704E+01,1.133679E+05,2.671936E+05,3.848075E+00,3.628837E+01,1.102249E+05,6.784603E+05,5.147052E+00,3.897314E+01,4.780116E+05,1.088265E+06,2.466295E+01,9.508731E+01,8.720318E+04,2.562377E+05,2.960083E+00,3.479963E+01,2.618834E+05,2.707768E+04,1.050496E+01,1.592356E+00
03:00:00,0.000000E+00,3.859500E+03,0.000000E+00,2.717967E-01,0.000000E+00,5.581615E+04,0.000000E+00,3.291767E+00,4.079991E+05,3.753091E+05,2.105183E+01,2.140973E+01,1.133415E+05,2.653387E+05,3.847159E+00,3.603775E+01,1.101854E+05,7.958276E+05,5.145182E+00,4.550818E+01,4.777464E+05,1.085273E+06,2.464864E+01,9.486048E+01,8.719552E+04,2.539520E+05,2.959821E+00,3.448995E+01,2.736385E+05,3.571178E+04,1.097604E+01,2.100268E+00
04:00:00,0.000000E+00,9.304043E+03,0.000000E+00,6.547811E-01,0.000000E+00,7.852347E+04,0.000000E+00,4.618544E+00,4.078806E+05,4.078757E+05,2.104457E+01,2.332607E+01,1.133337E+05,2.634957E+05,3.846850E+00,3.578919E+01,1.101592E+05,8.890846E+05,5.143889E+00,5.074682E+01,4.775919E+05,1.080723E+06,2.463902E+01,9.451763E+01,8.719044E+04,2.517869E+05,2.959643E+00,3.419685E+01,2.840953E+05,4.219663E+04,1.139460E+01,2.481900E+00
05:00:00,0.000000E+00,1.224984E+04,0.000000E+00,8.620978E-01,0.000000E+00,8.938878E+04,0.000000E+00,5.258705E+00,4.077395E+05,4.241609E+05,2.103654E+01,2.429094E+01,1.133093E+05,2.618606E+05,3.845995E+00,3.556805E+01,1.101208E+05,9.292661E+05,5.142056E+00,5.305850E+01,4.774107E+05,1.076732E+06,2.462857E+01,9.419387E+01,8.718300E+04,2.498348E+05,2.959387E+00,3.393226E+01,2.933444E+05,4.901776E+04,1.176501E+01,2.883453E+00
06:00:00,0.000000E+00,1.016025E+05,0.000000E+00,7.519834E+00,0.000000E+00,1.035405E+05,0.000000E+00,6.089934E+00,4.078383E+05,8.217304E+05,2.104004E+01,5.778924E+01,1.133547E+05,2.689927E+05,3.847463E+00,3.653341E+01,1.101409E+05,1.251877E+06,5.142886E+00,7.921639E+01,4.775268E+05,1.079845E+06,2.463229E+01,9.437374E+01,8.718704E+04,2.560962E+05,2.959515E+00,3.478080E+01,3.019545E+05,6.530413E+04,1.210887E+01,3.840748E+00
07:00:00,8.753452E+04,1.659522E+05,4.104838E+00,1.307432E+01,0.000000E+00,1.282405E+05,0.000000E+00,7.543524E+00,4.082973E+05,1.360880E+06,2.106643E+01,1.130037E+02,1.134796E+05,2.855224E+05,3.851819E+00,3.877904E+01,1.102281E+05,1.590682E+06,5.147133E+00,1.130580E+02,4.781018E+05,1.095632E+06,2.466580E+01,9.577033E+01,8.720400E+04,2.714615E+05,2.960106E+00,3.686794E+01,3.101909E+05,9.585738E+04,1.244115E+01,5.638440E+00
08:00:00,1.756072E+05,2.469727E+05,8.807493E+00,2.071964E+01,0.000000E+00,1.492410E+05,0.000000E+00,8.780348E+00,4.083028E+05,1.316838E+06,2.106839E+01,1.144159E+02,1.134958E+05,3.010033E+05,3.852432E+00,4.088268E+01,1.102275E+05,1.496364E+06,5.147198E+00,1.104197E+02,4.781067E+05,1.124151E+06,2.466851E+01,9.829078E+01,8.720391E+04,2.858674E+05,2.960110E+00,3.882503E+01,3.168865E+05,1.377037E+05,1.271096E+01,8.101625E+00
09:00:00,1.498479E+05,2.323959E+05,7.732524E+00,2.027767E+01,1.270578E+04,4.208183E+05,5.747041E-01,2.826124E+01,4.083799E+05,1.286788E+06,2.107381E+01,1.124837E+02,1.135284E+05,3.110811E+05,3.853585E+00,4.224992E+01,1.102378E+05,1.446036E+06,5.147750E+00,1.072688E+02,4.782037E+05,1.154774E+06,2.467563E+01,1.009305E+02,8.720594E+04,2.954307E+05,2.960185E+00,4.012301E+01,5.693122E+05,4.802340E+05,2.500810E+01,3.235162E+01
10:00:00,1.288091E+05,2.229365E+05,6.648165E+00,1.946628E+01,2.458652E+05,8.295867E+05,1.213401E+01,6.924531E+01,4.083677E+05,1.301770E+06,2.107367E+01,1.138261E+02,1.135418E+05,3.154402E+05,3.854057E+00,4.284182E+01,1.102335E+05,1.438393E+06,5.147572E+00,1.067311E+02,4.781857E+05,1.184851E+06,2.467542E+01,1.035569E+02,8.720511E+04,2.998014E+05,2.960158E+00,4.071654E+01,9.378179E+05,9.268398E+05,4.736332E+01,7.747579E+01
