Time,BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 1:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 1:Des Heat Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 1:Des Cool Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 1:Des Sens Cool Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 1:Des Tot Cool Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 2:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 2:Des Heat Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 2:Des Cool Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 2:Des Sens Cool Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 2:Des Tot Cool Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 3:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 3:Des Heat Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 3:Des Cool Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 3:Des Sens Cool Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 3:Des Tot Cool Cap [W],BUILDING STORY 2 THERMALZONE PSZ-AC:DesPer 1:Des Heat Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE PSZ-AC:DesPer 1:Des Heat Cap [W],BUILDING STORY 2 THERMALZONE PSZ-AC:DesPer 1:Des Cool Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE PSZ-AC:DesPer 1:Des Sens Cool Cap [W],BUILDING STORY 2 THERMALZONE PSZ-AC:DesPer 1:Des Tot Cool Cap [W],BUILDING STORY 2 THERMALZONE PSZ-AC:DesPer 2:Des Heat Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE PSZ-AC:DesPer 2:Des Heat Cap [W],BUILDING STORY 2 THERMALZONE PSZ-AC:DesPer 2:Des Cool Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE PSZ-AC:DesPer 2:Des Sens Cool Cap [W],BUILDING STORY 2 THERMALZONE PSZ-AC:DesPer 2:Des Tot Cool Cap [W],BUILDING STORY 2 THERMALZONE PSZ-AC:DesPer 3:Des Heat Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE PSZ-AC:DesPer 3:Des Heat Cap [W],BUILDING STORY 2 THERMALZONE PSZ-AC:DesPer 3:Des Cool Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE PSZ-AC:DesPer 3:Des Sens Cool Cap [W],BUILDING STORY 2 THERMALZONE PSZ-AC:DesPer 3:Des Tot Cool Cap [W],BUILDING STORY 3 THERMALZONE PSZ-AC:DesPer 1:Des Heat Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE PSZ-AC:DesPer 1:Des Heat Cap [W],BUILDING STORY 3 THERMALZONE PSZ-AC:DesPer 1:Des Cool Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE PSZ-AC:DesPer 1:Des Sens Cool Cap [W],BUILDING STORY 3 THERMALZONE PSZ-AC:DesPer 1:Des Tot Cool Cap [W],BUILDING STORY 3 THERMALZONE PSZ-AC:DesPer 2:Des Heat Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE PSZ-AC:DesPer 2:Des Heat Cap [W],BUILDING STORY 3 THERMALZONE PSZ-AC:DesPer 2:Des Cool Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE PSZ-AC:DesPer 2:Des Sens Cool Cap [W],BUILDING STORY 3 THERMALZONE PSZ-AC:DesPer 2:Des Tot Cool Cap [W],BUILDING STORY 3 THERMALZONE PSZ-AC:DesPer 3:Des Heat Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE PSZ-AC:DesPer 3:Des Heat Cap [W],BUILDING STORY 3 THERMALZONE PSZ-AC:DesPer 3:Des Cool Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE PSZ-AC:DesPer 3:Des Sens Cool Cap [W],BUILDING STORY 3 THERMALZONE PSZ-AC:DesPer 3:Des Tot Cool Cap [W]
01:00:00,1.836527E+00,5.145853E+04,7.852547E+00,9.709552E+04,1.667878E+05,1.836527E+00,5.607215E+04,7.773882E+00,9.143705E+04,1.675585E+05,1.836527E+00,1.223533E+05,1.836527E+00,0.000000E+00,0.000000E+00,4.230800E+00,1.185448E+05,4.230800E+00,3.970010E+04,9.243675E+04,4.230800E+00,1.291732E+05,4.230800E+00,2.907171E+04,9.632186E+04,4.230800E+00,2.818649E+05,4.230800E+00,0.000000E+00,0.000000E+00,4.230800E+00,1.185448E+05,4.230800E+00,3.970010E+04,9.243675E+04,4.230800E+00,1.291732E+05,4.230800E+00,2.907171E+04,9.632186E+04,4.230800E+00,2.818649E+05,4.230800E+00,0.000000E+00,0.000000E+00
02:00:00,1.836527E+00,5.214504E+04,2.400418E+00,2.604049E+04,5.834317E+04,1.836527E+00,5.675866E+04,2.362756E+00,2.079191E+04,5.728723E+04,1.836527E+00,1.223533E+05,1.836527E+00,0.000000E+00,0.000000E+00,4.230800E+00,1.201263E+05,4.230800E+00,3.811860E+04,9.081619E+04,4.230800E+00,1.307547E+05,4.230800E+00,2.749021E+04,9.099883E+04,4.230800E+00,2.818649E+05,4.230800E+00,0.000000E+00,0.000000E+00,4.230800E+00,1.201263E+05,4.230800E+00,3.811860E+04,9.081619E+04,4.230800E+00,1.307547E+05,4.230800E+00,2.749021E+04,9.099883E+04,4.230800E+00,2.818649E+05,4.230800E+00,0.000000E+00,0.000000E+00
03:00:00,1.836527E+00,5.265992E+04,3.114172E+00,3.812064E+04,8.884039E+04,1.836527E+00,5.727354E+04,3.057825E+00,3.253277E+04,8.596286E+04,1.836527E+00,1.223533E+05,1.836527E+00,0.000000E+00,0.000000E+00,4.230800E+00,1.213124E+05,4.230800E+00,3.693247E+04,8.960084E+04,4.230800E+00,1.319408E+05,4.230800E+00,2.630408E+04,8.705927E+04,4.230800E+00,2.818649E+05,4.230800E+00,0.000000E+00,0.000000E+00,4.230800E+00,1.213124E+05,4.230800E+00,3.693247E+04,8.960084E+04,4.230800E+00,1.319408E+05,4.230800E+00,2.630408E+04,8.705927E+04,4.230800E+00,2.818649E+05,4.230800E+00,0.000000E+00,0.000000E+00
04:00:00,1.836527E+00,5.317480E+04,3.224821E+00,3.944914E+04,9.273446E+04,1.836527E+00,5.778842E+04,3.168404E+00,3.386225E+04,8.879174E+04,1.836527E+00,1.223533E+05,1.836527E+00,0.000000E+00,0.000000E+00,4.230800E+00,1.224986E+05,4.230800E+00,3.574634E+04,8.838541E+04,4.230800E+00,1.331269E+05,4.230800E+00,2.511795E+04,8.316415E+04,4.230800E+00,2.818649E+05,4.230800E+00,0.000000E+00,0.000000E+00,4.230800E+00,1.224986E+05,4.230800E+00,3.574634E+04,8.838541E+04,4.230800E+00,1.331269E+05,4.230800E+00,2.511795E+04,8.316415E+04,4.230800E+00,2.818649E+05,4.230800E+00,0.000000E+00,0.000000E+00
05:00:00,1.836527E+00,5.351805E+04,3.423484E+00,4.252710E+04,9.849214E+04,1.836527E+00,5.813168E+04,3.366022E+00,3.691973E+04,9.390616E+04,1.836527E+00,1.223533E+05,1.836527E+00,0.000000E+00,0.000000E+00,4.230800E+00,1.232893E+05,4.230800E+00,3.495559E+04,8.757520E+04,4.230800E+00,1.339177E+05,4.230800E+00,2.432720E+04,8.059178E+04,4.230800E+00,2.818649E+05,4.230800E+00,0.000000E+00,0.000000E+00,4.230800E+00,1.232893E+05,4.230800E+00,3.495559E+04,8.757520E+04,4.230800E+00,1.339177E+05,4.230800E+00,2.432720E+04,8.059178E+04,4.230800E+00,2.818649E+05,4.230800E+00,0.000000E+00,0.000000E+00
06:00:00,1.836527E+00,5.317480E+04,4.090846E+00,5.384870E+04,1.177810E+05,1.836527E+00,5.778842E+04,4.028991E+00,4.818047E+04,1.140805E+05,1.836527E+00,1.223533E+05,1.836527E+00,0.000000E+00,0.000000E+00,4.230800E+00,1.224986E+05,4.230800E+00,3.574634E+04,8.838541E+04,4.230800E+00,1.331269E+05,4.230800E+00,2.511795E+04,8.316415E+04,4.230800E+00,2.818649E+05,4.230800E+00,0.000000E+00,0.000000E+00,4.230800E+00,1.224986E+05,4.230800E+00,3.574634E+04,8.838541E+04,4.230800E+00,1.331269E+05,4.230800E+00,2.511795E+04,8.316415E+04,4.230800E+00,2.818649E+05,4.230800E+00,0.000000E+00,0.000000E+00
07:00:00,1.836527E+00,5.197341E+04,8.893821E+00,1.129629E+05,2.003770E+05,1.836527E+00,5.658704E+04,8.811791E+00,1.072253E+05,2.000073E+05,1.836527E+00,1.223533E+05,1.836527E+00,0.000000E+00,0.000000E+00,4.230800E+00,1.197309E+05,5.189936E+00,4.986374E+04,1.232014E+05,4.230800E+00,1.303593E+05,5.585273E+00,4.391393E+04,1.362220E+05,4.230800E+00,2.818649E+05,4.230800E+00,0.000000E+00,0.000000E+00,4.230800E+00,1.197309E+05,6.878640E+00,6.986549E+04,1.682265E+05,4.230800E+00,1.303593E+05,6.486480E+00,5.458891E+04,1.601855E+05,4.230800E+00,2.818649E+05,4.230800E+00,0.000000E+00,0.000000E+00
08:00:00,1.836527E+00,4.905575E+04,9.213144E+00,1.175244E+05,1.954907E+05,1.836527E+00,5.366938E+04,9.123069E+00,1.117149E+05,2.019874E+05,1.836527E+00,1.223533E+05,1.836527E+00,0.000000E+00,0.000000E+00,4.230800E+00,1.130095E+05,9.718154E+00,1.069977E+05,2.449597E+05,4.230800E+00,1.236379E+05,9.581743E+00,9.483745E+04,2.527927E+05,4.230800E+00,2.818649E+05,4.230800E+00,0.000000E+00,0.000000E+00,4.230800E+00,1.130095E+05,1.001869E+01,1.103914E+05,2.294861E+05,4.230800E+00,1.236379E+05,9.841637E+00,9.776711E+04,2.475227E+05,4.230800E+00,2.818649E+05,4.230800E+00,0.000000E+00,0.000000E+00
09:00:00,1.836527E+00,4.579484E+04,9.189756E+00,1.203898E+05,1.884751E+05,1.836527E+00,5.040847E+04,9.102384E+00,1.146164E+05,2.020817E+05,1.836527E+00,1.223533E+05,1.836527E+00,0.000000E+00,0.000000E+00,4.230800E+00,1.054974E+05,9.876730E+00,1.161303E+05,1.972687E+05,4.230800E+00,1.161258E+05,9.747599E+00,1.040726E+05,2.269919E+05,4.230800E+00,2.818649E+05,4.230800E+00,0.000000E+00,0.000000E+00,4.230800E+00,1.054974E+05,1.012733E+01,1.190148E+05,1.969200E+05,4.230800E+00,1.161258E+05,9.963181E+00,1.065298E+05,2.293844E+05,4.230800E+00,2.818649E+05,4.230800E+00,0.000000E+00,0.000000E+00
10:00:00,1.836527E+00,4.287719E+04,9.094518E+00,1.220399E+05,1.931334E+05,1.836527E+00,4.749081E+04,9.007249E+00,1.162673E+05,2.070464E+05,1.836527E+00,1.223533E+05,1.836527E+00,0.000000E+00,0.000000E+00,4.230800E+00,9.877599E+04,9.657001E+00,1.204787E+05,1.981256E+05,4.230800E+00,1.094044E+05,9.530017E+00,1.084354E+05,2.309313E+05,4.230800E+00,2.818649E+05,4.230800E+00,0.000000E+00,0.000000E+00,4.230800E+00,9.877599E+04,9.973504E+00,1.240741E+05,2.041458E+05,4.230800E+00,1.094044E+05,9.809552E+00,1.115933E+05,2.359129E+05,4.230800E+00,2.818649E+05,4.230800E+00,0.000000E+00,0.000000E+00
