Time,1 ZONE PVAV:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE PVAV:DesPer 1:Des Heat Cap [W],1 ZONE PVAV:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE PVAV:DesPer 1:Des Sens Cool Cap [W],1 ZONE PVAV:DesPer 1:Des Tot Cool Cap [W],1 ZONE PVAV:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE PVAV:DesPer 2:Des Heat Cap [W],1 ZONE PVAV:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE PVAV:DesPer 2:Des Sens Cool Cap [W],1 ZONE PVAV:DesPer 2:Des Tot Cool Cap [W],1 ZONE PVAV:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE PVAV:DesPer 3:Des Heat Cap [W],1 ZONE PVAV:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE PVAV:DesPer 3:Des Sens Cool Cap [W],1 ZONE PVAV:DesPer 3:Des Tot Cool Cap [W],1 ZONE PVAV 1:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE PVAV 1:DesPer 1:Des Heat Cap [W],1 ZONE PVAV 1:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE PVAV 1:DesPer 1:Des Sens Cool Cap [W],1 ZONE PVAV 1:DesPer 1:Des Tot Cool Cap [W],1 ZONE PVAV 1:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE PVAV 1:DesPer 2:Des Heat Cap [W],1 ZONE PVAV 1:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE PVAV 1:DesPer 2:Des Sens Cool Cap [W],1 ZONE PVAV 1:DesPer 2:Des Tot Cool Cap [W],1 ZONE PVAV 1:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE PVAV 1:DesPer 3:Des Heat Cap [W],1 ZONE PVAV 1:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE PVAV 1:DesPer 3:Des Sens Cool Cap [W],1 ZONE PVAV 1:DesPer 3:Des Tot Cool Cap [W],1 ZONE PVAV 2:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE PVAV 2:DesPer 1:Des Heat Cap [W],1 ZONE PVAV 2:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE PVAV 2:DesPer 1:Des Sens Cool Cap [W],1 ZONE PVAV 2:DesPer 1:Des Tot Cool Cap [W],1 ZONE PVAV 2:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE PVAV 2:DesPer 2:Des Heat Cap [W],1 ZONE PVAV 2:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE PVAV 2:DesPer 2:Des Sens Cool Cap [W],1 ZONE PVAV 2:DesPer 2:Des Tot Cool Cap [W],1 ZONE PVAV 2:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE PVAV 2:DesPer 3:Des Heat Cap [W],1 ZONE PVAV 2:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE PVAV 2:DesPer 3:Des Sens Cool Cap [W],1 ZONE PVAV 2:DesPer 3:Des Tot Cool Cap [W]
01:00:00,5.769547E+00,0.000000E+00,2.912246E+01,3.171112E+05,4.674967E+05,5.769547E+00,0.000000E+00,2.895259E+01,3.006990E+05,4.714620E+05,5.769547E+00,1.685807E+05,5.769547E+00,0.000000E+00,0.000000E+00,4.738117E+00,0.000000E+00,1.239184E+01,1.306883E+05,2.236788E+05,4.738117E+00,0.000000E+00,1.219051E+01,1.165147E+05,2.261091E+05,4.738117E+00,1.384433E+05,4.738117E+00,0.000000E+00,0.000000E+00,6.162163E+00,0.000000E+00,1.921600E+01,2.047923E+05,3.488586E+05,6.162163E+00,0.000000E+00,1.899958E+01,1.868694E+05,3.527262E+05,6.162163E+00,1.800526E+05,6.162163E+00,0.000000E+00,0.000000E+00
02:00:00,5.769547E+00,0.000000E+00,2.904646E+01,3.140978E+05,4.644207E+05,5.769547E+00,0.000000E+00,2.887675E+01,2.976883E+05,4.631704E+05,5.769547E+00,1.685807E+05,5.769547E+00,0.000000E+00,0.000000E+00,4.738117E+00,0.000000E+00,1.229798E+01,1.278592E+05,2.206820E+05,4.738117E+00,0.000000E+00,1.209505E+01,1.136685E+05,2.187582E+05,4.738117E+00,1.384433E+05,4.738117E+00,0.000000E+00,0.000000E+00,6.162163E+00,0.000000E+00,1.911430E+01,2.013430E+05,3.452440E+05,6.162163E+00,0.000000E+00,1.889663E+01,1.834075E+05,3.434341E+05,6.162163E+00,1.800526E+05,6.162163E+00,0.000000E+00,0.000000E+00
03:00:00,5.769547E+00,0.000000E+00,2.897946E+01,3.117251E+05,4.619899E+05,5.769547E+00,0.000000E+00,2.880982E+01,2.953171E+05,4.569065E+05,5.769547E+00,1.685807E+05,5.769547E+00,0.000000E+00,0.000000E+00,4.738117E+00,0.000000E+00,1.221336E+01,1.255774E+05,2.182509E+05,4.738117E+00,0.000000E+00,1.200957E+01,1.113773E+05,2.131322E+05,4.738117E+00,1.384433E+05,4.738117E+00,0.000000E+00,0.000000E+00,6.162163E+00,0.000000E+00,1.902407E+01,1.985987E+05,3.423480E+05,6.162163E+00,0.000000E+00,1.880509E+01,1.806497E+05,3.363642E+05,6.162163E+00,1.800526E+05,6.162163E+00,0.000000E+00,0.000000E+00
04:00:00,5.769547E+00,0.000000E+00,2.891755E+01,3.094098E+05,4.596064E+05,5.769547E+00,0.000000E+00,2.874800E+01,2.930034E+05,4.507828E+05,5.769547E+00,1.685807E+05,5.769547E+00,0.000000E+00,0.000000E+00,4.738117E+00,0.000000E+00,1.213400E+01,1.233547E+05,2.158666E+05,4.738117E+00,0.000000E+00,1.192944E+01,1.091463E+05,2.076390E+05,4.738117E+00,1.384433E+05,4.738117E+00,0.000000E+00,0.000000E+00,6.162163E+00,0.000000E+00,1.894051E+01,1.959294E+05,3.395118E+05,6.162163E+00,0.000000E+00,1.871962E+01,1.779600E+05,3.294619E+05,6.162163E+00,1.800526E+05,6.162163E+00,0.000000E+00,0.000000E+00
05:00:00,5.769547E+00,0.000000E+00,2.886462E+01,3.077349E+05,4.578906E+05,5.769547E+00,0.000000E+00,2.869511E+01,2.913295E+05,4.465841E+05,5.769547E+00,1.685807E+05,5.769547E+00,0.000000E+00,0.000000E+00,4.738117E+00,0.000000E+00,1.206486E+01,1.216900E+05,2.140761E+05,4.738117E+00,0.000000E+00,1.185987E+01,1.074769E+05,2.037833E+05,4.738117E+00,1.384433E+05,4.738117E+00,0.000000E+00,0.000000E+00,6.162163E+00,0.000000E+00,1.886842E+01,1.939651E+05,3.374269E+05,6.162163E+00,0.000000E+00,1.864615E+01,1.759811E+05,3.246701E+05,6.162163E+00,1.800526E+05,6.162163E+00,0.000000E+00,0.000000E+00
06:00:00,5.769547E+00,0.000000E+00,5.889184E+00,5.068197E+04,1.236164E+05,5.769547E+00,0.000000E+00,5.814979E+00,3.498796E+04,1.145870E+05,5.769547E+00,1.685807E+05,5.769547E+00,0.000000E+00,0.000000E+00,4.738117E+00,0.000000E+00,4.738117E+00,4.003271E+04,9.898376E+04,4.738117E+00,0.000000E+00,4.738117E+00,2.812986E+04,9.313642E+04,4.738117E+00,1.384433E+05,4.738117E+00,0.000000E+00,0.000000E+00,6.162163E+00,0.000000E+00,6.162163E+00,5.206457E+04,1.287334E+05,6.162163E+00,0.000000E+00,6.162163E+00,3.658432E+04,1.211287E+05,6.162163E+00,1.800526E+05,6.162163E+00,0.000000E+00,0.000000E+00
07:00:00,5.769547E+00,0.000000E+00,2.812580E+01,3.175581E+05,5.146657E+05,5.769547E+00,0.000000E+00,2.810533E+01,3.028060E+05,5.166115E+05,5.769547E+00,1.685807E+05,5.769547E+00,0.000000E+00,0.000000E+00,4.738117E+00,0.000000E+00,1.550490E+01,1.685891E+05,3.022558E+05,4.738117E+00,0.000000E+00,1.523458E+01,1.534684E+05,2.998517E+05,4.738117E+00,1.384433E+05,4.738117E+00,0.000000E+00,0.000000E+00,6.162163E+00,0.000000E+00,2.226723E+01,2.461886E+05,4.697279E+05,6.162163E+00,0.000000E+00,2.212423E+01,2.289992E+05,4.705543E+05,6.162163E+00,1.800526E+05,6.162163E+00,0.000000E+00,0.000000E+00
08:00:00,5.769547E+00,0.000000E+00,3.074383E+01,3.430574E+05,5.330664E+05,5.769547E+00,0.000000E+00,3.054664E+01,3.263416E+05,5.543826E+05,5.769547E+00,1.685807E+05,5.769547E+00,0.000000E+00,0.000000E+00,4.738117E+00,0.000000E+00,1.315546E+01,1.455296E+05,2.489980E+05,4.738117E+00,0.000000E+00,1.293162E+01,1.311037E+05,2.659174E+05,4.738117E+00,1.384433E+05,4.738117E+00,0.000000E+00,0.000000E+00,6.162163E+00,0.000000E+00,2.024473E+01,2.245319E+05,4.011074E+05,6.162163E+00,0.000000E+00,2.000348E+01,2.063331E+05,4.234435E+05,6.162163E+00,1.800526E+05,6.162163E+00,0.000000E+00,0.000000E+00
09:00:00,5.769547E+00,0.000000E+00,3.164088E+01,3.632310E+05,5.084780E+05,5.769547E+00,0.000000E+00,3.145656E+01,3.466614E+05,5.524539E+05,5.769547E+00,1.685807E+05,5.769547E+00,0.000000E+00,0.000000E+00,4.738117E+00,0.000000E+00,1.432539E+01,1.670854E+05,2.565982E+05,4.738117E+00,0.000000E+00,1.409622E+01,1.525996E+05,2.921145E+05,4.738117E+00,1.384433E+05,4.738117E+00,0.000000E+00,0.000000E+00,6.162163E+00,0.000000E+00,2.156710E+01,2.502435E+05,3.847973E+05,6.162163E+00,0.000000E+00,2.133131E+01,2.321076E+05,4.313484E+05,6.162163E+00,1.800526E+05,6.162163E+00,0.000000E+00,0.000000E+00
10:00:00,5.769547E+00,0.000000E+00,3.127532E+01,3.683285E+05,5.167638E+05,5.769547E+00,0.000000E+00,3.109090E+01,3.517556E+05,5.613782E+05,5.769547E+00,1.685807E+05,5.769547E+00,0.000000E+00,0.000000E+00,4.738117E+00,0.000000E+00,1.415751E+01,1.727363E+05,2.647547E+05,4.738117E+00,0.000000E+00,1.393223E+01,1.582928E+05,3.006747E+05,4.738117E+00,1.384433E+05,4.738117E+00,0.000000E+00,0.000000E+00,6.162163E+00,0.000000E+00,2.124144E+01,2.564229E+05,3.977060E+05,6.162163E+00,0.000000E+00,2.100515E+01,2.382790E+05,4.452207E+05,6.162163E+00,1.800526E+05,6.162163E+00,0.000000E+00,0.000000E+00
