Datetime,Electricity:Facility(kWh),ElectricityProduced:Facility(),Gas:Facility(kBtu),DistrictCooling:Facility(),DistrictHeating:Facility(),District Cooling Chilled Water Rate(),District Cooling Mass Flow Rate(),District Cooling Inlet Temperature(),District Cooling Outlet Temperature(),District Heating Hot Water Rate(),District Heating Mass Flow Rate(),District Heating Inlet Temperature(),District Heating Outlet Temperature(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 1(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT KITCHEN PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT KITCHEN PEOPLE 1(),Net Electric Energy(kWh),Electricity:Facility Power(kW),ElectricityProduced:Facility Power(kW),Electricity:Facility Apparent Power(kW),ElectricityProduced:Facility Apparent Power(kW),Net Power(kW),Net Apparent Power(kW)
2019/01/01 01:00:00,26.26310203080714,0,384.95654252130817,0,0,0,0,0,0,0,0,0,0,-0.4410433162948525,-0.4410433162948525,9.057952988644047,9.057952988644047,26.26310203080714,26.26310203080714,0.0,29.1812244786746,0.0,26.26310203080714,29.1812244786746
2019/01/01 02:00:00,16.971102516559785,0,27.805703645689885,0,0,0,0,0,0,0,0,0,0,-0.2958764290453763,-0.2958764290453763,6.818953571632008,6.818953571632008,16.971102516559785,16.971102516559785,0.0,18.856780573955316,0.0,16.971102516559785,18.856780573955316
2019/01/01 03:00:00,20.180867267387182,0,37.56317510147665,0,0,0,0,0,0,0,0,0,0,-0.2957216985674778,-0.2957216985674778,6.817044897421596,6.817044897421596,20.180867267387182,20.180867267387182,0.0,22.423185852652423,0.0,20.180867267387182,22.423185852652423
2019/01/01 04:00:00,16.971171966916163,0,25.042116734317766,0,0,0,0,0,0,0,0,0,0,-0.2867283645422915,-0.2867283645422915,6.707845463090251,6.707845463090251,16.971171966916163,16.971171966916163,0.0,18.856857741017958,0.0,16.971171966916163,18.856857741017958
2019/01/01 05:00:00,26.75561791103884,0,62.605291835794425,0,0,0,0,0,0,0,0,0,0,-0.2684664880795209,-0.2684664880795209,6.4966061819765315,6.4966061819765315,26.75561791103884,26.75561791103884,0.0,29.72846434559871,0.0,26.75561791103884,29.72846434559871
2019/01/01 06:00:00,50.236627917684295,0,150.2527004059066,0,0,0,0,0,0,0,0,0,0,-0.19698251159777294,-0.19698251159777294,5.804592384547988,5.804592384547988,50.236627917684295,50.236627917684295,0.0,55.81847546409366,0.0,50.236627917684295,55.81847546409366
2019/01/01 07:00:00,61.346499447713065,0,503.9587598205691,0,0,0,0,0,0,0,0,0,0,0.06625486246885866,0.06625486246885866,5.0908870020266335,5.0908870020266335,61.346499447713065,61.346499447713065,0.0,68.16277716412563,0.0,61.346499447713065,68.16277716412563
2019/01/01 08:00:00,116.27305085785817,0,838.4619697610427,0,0,0,0,0,0,0,0,0,0,0.22443842889402227,0.22443842889402227,6.0450303487972405,6.0450303487972405,116.27305085785817,116.27305085785817,0.0,129.19227873095352,0.0,116.27305085785817,129.19227873095352
2019/01/01 09:00:00,118.13629685696333,0,909.1386883890868,0,0,0,0,0,0,0,0,0,0,-0.21542249244536335,-0.21542249244536335,5.962594979809268,5.962594979809268,118.13629685696333,118.13629685696333,0.0,131.2625520632926,0.0,118.13629685696333,131.2625520632926
2019/01/01 10:00:00,124.06210919820039,0,882.6043229459409,0,0,0,0,0,0,0,0,0,0,-0.3122498506940572,-0.3122498506940572,7.02664897821677,7.02664897821677,124.06210919820039,124.06210919820039,0.0,137.84678799800042,0.0,124.06210919820039,137.84678799800042
2019/01/01 11:00:00,144.69133761271937,0,919.8753528051917,0,0,0,0,0,0,0,0,0,0,-0.30805277072833925,-0.30805277072833925,6.9723284107436285,6.9723284107436285,144.69133761271937,144.69133761271937,0.0,160.7681529030215,0.0,144.69133761271937,160.7681529030215
2019/01/01 12:00:00,156.04942096689498,0,859.133357781511,0,0,0,0,0,0,0,0,0,0,-0.28593360721081024,-0.28593360721081024,6.698359546981862,6.698359546981862,156.04942096689498,156.04942096689498,0.0,173.3882455187722,0.0,156.04942096689498,173.3882455187722
2019/01/01 13:00:00,147.92675974431765,0,720.3631256813558,0,0,0,0,0,0,0,0,0,0,-0.26430022416867066,-0.26430022416867066,6.450383135366948,6.450383135366948,147.92675974431765,147.92675974431765,0.0,164.36306638257517,0.0,147.92675974431765,164.36306638257517
2019/01/01 14:00:00,139.83455904212013,0,695.0466226287024,0,0,0,0,0,0,0,0,0,0,-0.2421320632118631,-0.2421320632118631,6.216717624611675,6.216717624611675,139.83455904212013,139.83455904212013,0.0,155.37173226902237,0.0,139.83455904212013,155.37173226902237
2019/01/01 15:00:00,131.73183080162656,0,779.8603173546303,0,0,0,0,0,0,0,0,0,0,-0.2646063937271187,-0.2646063937271187,6.453755081358452,6.453755081358452,131.73183080162656,131.73183080162656,0.0,146.36870089069618,0.0,131.73183080162656,146.36870089069618
2019/01/01 16:00:00,131.7258671800699,0,840.3083133059555,0,0,0,0,0,0,0,0,0,0,-0.28238958317345686,-0.28238958317345686,6.656383919683236,6.656383919683236,131.7258671800699,131.7258671800699,0.0,146.36207464452212,0.0,131.7258671800699,146.36207464452212
2019/01/01 17:00:00,141.51753260163085,0,859.3597203152462,0,0,0,0,0,0,0,0,0,0,-0.28567105830638456,-0.28567105830638456,6.695231723222619,6.695231723222619,141.51753260163085,141.51753260163085,0.0,157.24170289070094,0.0,141.51753260163085,157.24170289070094
2019/01/01 18:00:00,155.74046168226397,0,804.7927055259438,0,0,0,0,0,0,0,0,0,0,-0.280258374869848,-0.280258374869848,6.631396925677322,6.631396925677322,155.74046168226397,155.74046168226397,0.0,173.04495742473773,0.0,155.74046168226397,173.04495742473773
2019/01/01 19:00:00,154.2450560433937,0,750.3106950419339,0,0,0,0,0,0,0,0,0,0,-0.267649115063022,-0.267649115063022,6.487480111638959,6.487480111638959,154.2450560433937,154.2450560433937,0.0,171.38339560377077,0.0,154.2450560433937,171.38339560377077
2019/01/01 20:00:00,148.94192101962022,0,733.0041703551218,0,0,0,0,0,0,0,0,0,0,-0.26393674893166574,-0.26393674893166574,6.446385187038999,6.446385187038999,148.94192101962022,148.94192101962022,0.0,165.4910233551336,0.0,148.94192101962022,165.4910233551336
2019/01/01 21:00:00,139.33780026551537,0,735.2664726781843,0,0,0,0,0,0,0,0,0,0,-0.2658197069156015,-0.2658197069156015,6.467156511948161,6.467156511948161,139.33780026551537,139.33780026551537,0.0,154.81977807279486,0.0,139.33780026551537,154.81977807279486
2019/01/01 22:00:00,134.1871195907882,0,824.9768748487951,0,0,0,0,0,0,0,0,0,0,-0.28548415592903575,-0.28548415592903575,6.693006871946665,6.693006871946665,134.1871195907882,134.1871195907882,0.0,149.0967995453202,0.0,134.1871195907882,149.0967995453202
2019/01/01 23:00:00,93.88177023410054,0,819.7442443603029,0,0,0,0,0,0,0,0,0,0,-0.3416569451374391,-0.3416569451374391,7.428189925596428,7.428189925596428,93.88177023410054,93.88177023410054,0.0,104.31307803788948,0.0,93.88177023410054,104.31307803788948
2019/01/02 00:00:00,64.16859868110915,0,821.6815799445451,0,0,0,0,0,0,0,0,0,0,-0.3996320603179029,-0.3996320603179029,8.327560143486622,8.327560143486622,64.16859868110915,64.16859868110915,0.0,71.29844297901016,0.0,64.16859868110915,71.29844297901016
2019/01/02 01:00:00,26.257225289359653,0,385.0407520859465,0,0,0,0,0,0,0,0,0,0,-0.44268341607146877,-0.44268341607146877,9.088395411453305,9.088395411453305,26.257225289359653,26.257225289359653,0.0,29.17469476595517,0.0,26.257225289359653,29.17469476595517
2019/01/02 02:00:00,16.97113965823975,0,35.98591119886707,0,0,0,0,0,0,0,0,0,0,-0.30191995043363296,-0.30191995043363296,6.8942949231965684,6.8942949231965684,16.97113965823975,16.97113965823975,0.0,18.85682184248861,0.0,16.97113965823975,18.85682184248861
2019/01/02 03:00:00,20.23260903966778,0,37.56317510147665,0,0,0,0,0,0,0,0,0,0,-0.32276342792529716,-0.32276342792529716,7.1659955069669365,7.1659955069669365,20.23260903966778,20.23260903966778,0.0,22.480676710741974,0.0,20.23260903966778,22.480676710741974
2019/01/02 04:00:00,16.971101916150765,0,25.042116734317766,0,0,0,0,0,0,0,0,0,0,-0.3176801147187608,-0.3176801147187608,7.09803675523851,7.09803675523851,16.971101916150765,16.971101916150765,0.0,18.856779906834184,0.0,16.971101916150765,18.856779906834184
2019/01/02 05:00:00,26.7038433915966,0,62.605291835794425,0,0,0,0,0,0,0,0,0,0,-0.31614294259260767,-0.31614294259260767,7.07770192675801,7.07770192675801,26.7038433915966,26.7038433915966,0.0,29.670937101773998,0.0,26.7038433915966,29.670937101773998
2019/01/02 06:00:00,50.23664056773642,0,150.2527004059066,0,0,0,0,0,0,0,0,0,0,-0.24652853747817877,-0.24652853747817877,6.261416661707045,6.261416661707045,50.23664056773642,50.23664056773642,0.0,55.818489519707136,0.0,50.23664056773642,55.818489519707136
2019/01/02 07:00:00,61.34655271288651,0,504.03000903768793,0,0,0,0,0,0,0,0,0,0,-0.012737697925555954,-0.012737697925555954,5.003358658837769,5.003358658837769,61.34655271288651,61.34655271288651,0.0,68.16283634765168,0.0,61.34655271288651,68.16283634765168
2019/01/02 08:00:00,116.29061738359115,0,870.7068723903556,0,0,0,0,0,0,0,0,0,0,0.159021750731517,0.159021750731517,5.524058695239745,5.524058695239745,116.29061738359115,116.29061738359115,0.0,129.21179709287907,0.0,116.29061738359115,129.21179709287907
2019/01/02 09:00:00,118.19333266703691,0,918.1972990326033,0,0,0,0,0,0,0,0,0,0,-0.23578411165112506,-0.23578411165112506,6.153610115777624,6.153610115777624,118.19333266703691,118.19333266703691,0.0,131.32592518559656,0.0,118.19333266703691,131.32592518559656
