Time,BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s]
01:00:00,2.034284E+04,8.116604E+04,6.433183E-01,6.020848E+00,1.697391E+04,2.293541E+04,5.739023E-01,1.310697E+00,2.191671E+04,2.174282E+04,7.410101E-01,1.241458E+00
02:00:00,2.034284E+04,4.004950E+04,6.433183E-01,2.303128E+00,1.697405E+04,2.036219E+04,5.739070E-01,1.160529E+00,2.191672E+04,2.382760E+04,7.410102E-01,1.358387E+00
03:00:00,2.034284E+04,5.225883E+04,6.433183E-01,2.976560E+00,1.697418E+04,2.222124E+04,5.739114E-01,1.265944E+00,2.191672E+04,2.536805E+04,7.410103E-01,1.445329E+00
04:00:00,2.034284E+04,5.450667E+04,6.433183E-01,3.114373E+00,1.697430E+04,2.498516E+04,5.739155E-01,1.428645E+00,2.191672E+04,2.749067E+04,7.410103E-01,1.574099E+00
05:00:00,2.034284E+04,5.657364E+04,6.433183E-01,3.232579E+00,1.697442E+04,2.600511E+04,5.739194E-01,1.489952E+00,2.191672E+04,2.881134E+04,7.410104E-01,1.654387E+00
06:00:00,2.034284E+04,7.762902E+04,6.433183E-01,4.905391E+00,1.697452E+04,5.037796E+04,5.739230E-01,3.530552E+00,2.191673E+04,5.472326E+04,7.410105E-01,3.839846E+00
07:00:00,2.034284E+04,1.015049E+05,6.433183E-01,7.219612E+00,1.697462E+04,9.090369E+04,5.739265E-01,7.549184E+00,2.191673E+04,9.405784E+04,7.410105E-01,7.808206E+00
08:00:00,2.034284E+04,9.513908E+04,6.433183E-01,7.062870E+00,1.697472E+04,9.143114E+04,5.739297E-01,7.995496E+00,2.191673E+04,9.080200E+04,7.410106E-01,7.939952E+00
09:00:00,2.034284E+04,9.591349E+04,6.433183E-01,7.126037E+00,1.697481E+04,9.148067E+04,5.739327E-01,8.008215E+00,2.191673E+04,9.109719E+04,7.410106E-01,7.973760E+00
10:00:00,2.034284E+04,9.678224E+04,6.433183E-01,7.192805E+00,1.697489E+04,9.044842E+04,5.739356E-01,7.917620E+00,2.191673E+04,9.144563E+04,7.410107E-01,8.004761E+00
11:00:00,2.034284E+04,9.699528E+04,6.433183E-01,7.209805E+00,1.697497E+04,8.971004E+04,5.739382E-01,7.853645E+00,2.191673E+04,9.114687E+04,7.410107E-01,7.979635E+00
12:00:00,2.034284E+04,9.642073E+04,6.433183E-01,7.167536E+00,1.697505E+04,8.863811E+04,5.739408E-01,7.760589E+00,2.191673E+04,9.020682E+04,7.410107E-01,7.898034E+00
13:00:00,2.034284E+04,9.623002E+04,6.433183E-01,7.153336E+00,1.697512E+04,8.793806E+04,5.739431E-01,7.699359E+00,2.191673E+04,8.967496E+04,7.410108E-01,7.851432E+00
14:00:00,2.034284E+04,9.643659E+04,6.433183E-01,7.168731E+00,1.697518E+04,8.760742E+04,5.739453E-01,7.670424E+00,2.191674E+04,8.956024E+04,7.410108E-01,7.841378E+00
15:00:00,2.034284E+04,9.636563E+04,6.433183E-01,7.163568E+00,1.697524E+04,8.739657E+04,5.739474E-01,7.652092E+00,2.191674E+04,8.926533E+04,7.410108E-01,7.815678E+00
16:00:00,2.034284E+04,9.600713E+04,6.433183E-01,7.136931E+00,1.697530E+04,8.732118E+04,5.739494E-01,7.645611E+00,2.191674E+04,8.878551E+04,7.410108E-01,7.773725E+00
