Time,BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s]
01:00:00,2.113022E+04,8.663983E+04,6.682637E-01,6.425713E+00,1.706826E+04,8.228950E+03,5.771110E-01,4.690993E-01,2.208897E+04,7.316411E+03,7.468614E-01,4.167348E-01
02:00:00,2.113022E+04,3.212032E+04,6.682637E-01,1.846530E+00,1.706846E+04,8.375093E+03,5.771178E-01,4.771349E-01,2.208898E+04,1.274131E+04,7.468618E-01,7.253530E-01
03:00:00,2.113022E+04,4.652152E+04,6.682638E-01,2.649125E+00,1.706865E+04,1.280825E+04,5.771242E-01,7.290753E-01,2.208899E+04,1.786885E+04,7.468621E-01,1.017422E+00
04:00:00,2.113022E+04,5.059970E+04,6.682638E-01,2.890479E+00,1.706882E+04,1.683175E+04,5.771301E-01,9.597356E-01,2.208900E+04,2.118792E+04,7.468623E-01,1.209477E+00
05:00:00,2.113022E+04,5.343789E+04,6.682639E-01,3.051940E+00,1.706899E+04,1.907460E+04,5.771358E-01,1.088631E+00,2.208900E+04,2.302924E+04,7.468626E-01,1.316070E+00
06:00:00,2.113022E+04,6.336054E+04,6.682639E-01,3.667285E+00,1.706915E+04,2.673159E+04,5.771411E-01,1.550057E+00,2.208901E+04,2.945446E+04,7.468628E-01,1.709528E+00
07:00:00,2.113022E+04,1.112307E+05,6.682639E-01,7.985459E+00,1.706929E+04,6.592204E+04,5.771461E-01,5.330738E+00,2.208902E+04,7.216012E+04,7.468630E-01,5.854470E+00
08:00:00,2.113022E+04,1.055613E+05,6.682640E-01,7.831809E+00,1.706943E+04,9.778836E+04,5.771508E-01,8.552670E+00,2.208902E+04,9.759687E+04,7.468632E-01,8.535553E+00
09:00:00,2.113023E+04,1.052774E+05,6.682640E-01,7.816775E+00,1.706956E+04,1.000702E+05,5.771552E-01,8.769819E+00,2.208903E+04,9.856505E+04,7.468634E-01,8.634726E+00
10:00:00,2.113023E+04,1.049920E+05,6.682640E-01,7.796625E+00,1.706969E+04,9.695443E+04,5.771593E-01,8.486308E+00,2.208903E+04,9.720813E+04,7.468636E-01,8.507083E+00
11:00:00,2.113023E+04,1.047919E+05,6.682641E-01,7.783048E+00,1.706980E+04,9.549957E+04,5.771632E-01,8.355222E+00,2.208904E+04,9.635429E+04,7.468637E-01,8.429961E+00
12:00:00,2.113023E+04,1.039173E+05,6.682641E-01,7.718825E+00,1.706991E+04,9.387131E+04,5.771669E-01,8.213503E+00,2.208904E+04,9.498676E+04,7.468639E-01,8.311179E+00
