Time,BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
01:00:00,0.000000E+00,2.171687E+04,0.000000E+00,1.528665E+00,0.000000E+00,5.888339E+04,0.000000E+00,4.145283E+00,1.675389E+05,4.129455E+04,6.730344E+00,2.907706E+00,1.824153E+05,3.903941E+04,7.327592E+00,2.748901E+00,1.114479E+04,6.427748E+04,4.504871E-01,4.525574E+00,7.088322E+04,5.375573E+04,2.850219E+00,3.784654E+00
02:00:00,0.000000E+00,2.158825E+04,0.000000E+00,1.519609E+00,0.000000E+00,6.373552E+04,0.000000E+00,4.486286E+00,1.726701E+05,4.329616E+04,6.935329E+00,3.048461E+00,1.875026E+05,4.083044E+04,7.530623E+00,2.874847E+00,2.410054E+04,7.201893E+04,9.697469E-01,5.069778E+00,8.064425E+04,5.962297E+04,3.240712E+00,4.197113E+00
03:00:00,0.000000E+00,2.252567E+04,0.000000E+00,1.585564E+00,0.000000E+00,6.543238E+04,0.000000E+00,4.605653E+00,1.779563E+05,4.425770E+04,7.146858E+00,3.116211E+00,1.927848E+05,4.167969E+04,7.741857E+00,2.934687E+00,3.144998E+04,7.562266E+04,1.263871E+00,5.323347E+00,8.794063E+04,6.210185E+04,3.533735E+00,4.371562E+00
04:00:00,1.618690E+02,2.234379E+04,6.537460E-03,1.572743E+00,0.000000E+00,6.656193E+04,0.000000E+00,4.685081E+00,1.823833E+05,4.432069E+04,7.324004E+00,3.120678E+00,1.972015E+05,4.161846E+04,7.918471E+00,2.930408E+00,3.609514E+04,7.791015E+04,1.450455E+00,5.484207E+00,9.342589E+04,6.341055E+04,3.754045E+00,4.463584E+00
05:00:00,3.989812E+03,2.215543E+04,1.603561E-01,1.559458E+00,2.536898E+03,6.753355E+04,1.023887E-01,4.753412E+00,1.863624E+05,4.447191E+04,7.482291E+00,3.131318E+00,2.011874E+05,4.168830E+04,8.076800E+00,2.935316E+00,3.955884E+04,7.940411E+04,1.589445E+00,5.589257E+00,9.754969E+04,6.416209E+04,3.919465E+00,4.516410E+00
06:00:00,4.591531E+04,0.000000E+00,1.927443E+00,0.000000E+00,4.905801E+04,1.557021E+04,2.064408E+00,9.205010E-01,2.479540E+05,0.000000E+00,1.064496E+01,0.000000E+00,2.638838E+05,0.000000E+00,1.133099E+01,0.000000E+00,7.920631E+04,2.481989E+04,3.365700E+00,1.468917E+00,1.532380E+05,1.337926E+04,6.563115E+00,7.913211E-01
07:00:00,6.608103E+04,1.042445E+05,3.057403E+00,7.750568E+00,6.030804E+04,1.010524E+05,2.784574E+00,7.269723E+00,2.971549E+05,9.704676E+04,1.394157E+01,7.110172E+00,3.140229E+05,1.009421E+05,1.473420E+01,7.450729E+00,1.222948E+05,1.389684E+05,5.705566E+00,1.019425E+01,1.941869E+05,9.142483E+04,9.097422E+00,6.520320E+00
08:00:00,7.903325E+04,1.012137E+05,3.972736E+00,8.458020E+00,1.004652E+05,1.714823E+05,5.062072E+00,1.433406E+01,3.127462E+05,1.679813E+05,1.579892E+01,1.406951E+01,3.302300E+05,1.662738E+05,1.668059E+01,1.392695E+01,1.330455E+05,1.932499E+05,6.711331E+00,1.613564E+01,2.024983E+05,1.762313E+05,1.023085E+01,1.474142E+01
09:00:00,5.289450E+04,8.858671E+04,2.729785E+00,7.733946E+00,9.052733E+04,1.661821E+05,4.671691E+00,1.449825E+01,2.769884E+05,1.584073E+05,1.428829E+01,1.382952E+01,2.943049E+05,1.578500E+05,1.518069E+01,1.378163E+01,9.874498E+04,1.753482E+05,5.095789E+00,1.529452E+01,1.631447E+05,1.617341E+05,8.419371E+00,1.411138E+01
10:00:00,5.406586E+04,8.919024E+04,2.790053E+00,7.789798E+00,9.350613E+04,1.647997E+05,4.824748E+00,1.438971E+01,2.733915E+05,1.646619E+05,1.409833E+01,1.438633E+01,2.906675E+05,1.650366E+05,1.498801E+01,1.441986E+01,9.397454E+04,1.683734E+05,4.849178E+00,1.470054E+01,1.563582E+05,1.577817E+05,8.068527E+00,1.377768E+01
